Maintenance_ID,Truck_ID,Maintenance_Date,Maintenance_Type,Downtime_Hours,Maintenance_Cost,Failure_Flag
1300102,912445,2023-03-24 12:26:08,Engine,73.4,180315.79,1
1300103,913959,2023-05-12 03:43:43,Corrective,40.4,114463.16,0
1300104,912746,2023-11-22 23:58:45,Corrective,52.5,165439.99,0
1300105,910509,2023-11-30 08:52:47,Preventive,88.6,182976.33,0
1300106,911239,2023-08-13 08:21:35,Corrective,54.4,151664.71,0
1300107,911705,2023-11-04 18:00:29,Corrective,94.0,241875.85,0
1300108,912385,2025-04-09 18:05:12,Preventive,81.9,79708.97,0
1300109,913108,2024-10-16 11:38:52,Inspection,110.9,204922.62,0
1300110,910955,2023-03-17 14:21:24,Corrective,4.1,153810.02,0
1300111,912716,2025-07-27 19:09:31,Tire,43.9,161124.97,1
1300112,912995,2024-08-06 04:54:12,Engine,79.2,108652.74,1
1300113,913300,2024-05-10 16:30:37,Tire,10.2,263433.27,0
1300114,911315,2025-09-13 15:19:09,Corrective,64.7,120915.16,0
1300115,911189,2025-07-23 20:53:14,Corrective,89.7,166895.17,0
1300116,910606,2023-07-19 07:07:29,Tire,17.8,96563.11,0
1300117,911495,2023-01-28 21:51:51,Inspection,92.9,241117.75,0
1300118,913463,2025-01-26 21:50:16,Engine,61.2,92103.57,0
1300119,911804,2024-03-24 20:02:15,Preventive,91.9,248985.47,0
1300120,913424,2023-04-13 10:42:20,Preventive,117.1,218905.14,1
1300121,912155,2023-11-27 17:38:06,Tire,75.1,155713.5,0
1300122,912589,2024-12-10 21:26:19,Corrective,98.1,183936.42,0
1300123,911920,2024-12-10 06:12:22,Preventive,75.0,274946.88,1
1300124,910006,2023-09-03 06:29:19,Inspection,103.1,226317.76,0
1300125,913010,2023-10-04 18:16:59,Preventive,88.6,222762.77,1
1300126,911546,2025-09-26 09:24:21,Inspection,104.4,238940.95,0
1300127,911082,2024-07-10 02:14:09,Preventive,109.5,219862.56,0
1300128,913877,2023-12-26 21:47:53,Tire,85.7,90377.44,0
1300129,911554,2025-05-22 19:53:56,Tire,97.5,282157.82,0
1300130,911367,2025-06-10 12:26:44,Tire,118.9,170531.77,1
1300131,910681,2025-07-14 09:35:45,Tire,31.2,96981.24,0
1300132,910054,2024-08-26 13:56:48,Engine,53.5,126426.84,0
1300133,913229,2025-12-04 03:06:29,Engine,84.8,69405.92,0
1300134,913960,2025-02-16 23:19:18,Engine,62.2,164258.16,1
1300135,912749,2025-05-01 09:29:52,Inspection,47.8,57911.49,0
1300136,912050,2025-07-16 04:33:46,Tire,89.4,47587.66,0
1300137,910787,2023-03-22 13:14:19,Preventive,115.4,274143.1,0
1300138,911013,2023-11-20 21:13:16,Inspection,63.5,104956.91,0
1300139,913720,2025-01-28 03:35:37,Inspection,119.0,144791.67,1
1300140,913399,2025-12-07 07:36:09,Tire,108.0,162589.1,1
1300141,911222,2025-07-21 00:22:47,Preventive,35.3,176660.92,1
1300142,913383,2023-12-28 21:50:25,Engine,52.9,295558.46,0
1300143,910944,2024-04-03 03:29:16,Preventive,90.4,108983.07,0
1300144,913377,2025-10-16 23:40:04,Preventive,75.4,67834.8,0
1300145,912047,2024-01-12 20:29:39,Tire,12.5,278313.01,0
1300146,912461,2025-11-22 12:52:14,Engine,50.2,157370.55,0
1300147,912350,2025-02-13 22:24:31,Inspection,51.6,272458.15,0
1300148,912933,2024-05-05 10:45:16,Inspection,78.5,20085.12,0
1300149,910493,2024-03-10 05:08:33,Engine,104.2,199485.51,0
1300150,911274,2025-01-08 02:00:47,Inspection,17.1,42329.14,0
1300151,911337,2023-05-06 04:55:45,Preventive,98.9,55718.77,0
1300152,912162,2025-10-24 11:00:21,Engine,35.2,246436.54,0
1300153,912741,2023-09-30 05:31:05,Tire,89.5,27220.53,0
1300154,910549,2023-10-26 02:23:37,Preventive,115.3,169782.53,0
1300155,911669,2024-03-19 22:28:36,Preventive,106.9,249869.0,0
1300156,910558,2024-03-04 08:40:42,Engine,107.0,98325.19,0
1300157,910855,2024-10-21 12:59:39,Preventive,34.7,279312.55,0
1300158,912640,2023-05-22 11:55:02,Tire,75.7,268298.86,0
1300159,912585,2024-07-13 15:46:50,Engine,29.2,135153.95,1
1300160,913034,2023-12-30 12:26:43,Inspection,105.5,201999.63,1
1300161,913327,2024-12-30 06:27:04,Corrective,59.2,132246.43,0
1300162,912186,2025-10-13 12:54:52,Corrective,104.8,140048.95,0
1300163,911325,2024-07-07 18:21:10,Engine,7.8,81402.28,0
1300164,911164,2025-10-23 13:48:39,Preventive,115.4,273619.6,0
1300165,912245,2024-09-03 19:08:14,Engine,84.0,145222.71,0
1300166,913374,2025-05-02 05:48:16,Preventive,75.2,248776.79,0
1300167,912126,2023-11-09 13:20:12,Engine,19.2,257123.91,0
1300168,911922,2025-11-24 10:13:59,Preventive,102.2,223026.57,0
1300169,911893,2023-02-22 13:19:56,Preventive,118.4,287522.67,0
1300170,913205,2023-11-11 14:17:14,Tire,103.3,96758.0,0
1300171,913664,2025-11-25 01:28:42,Preventive,42.2,186903.41,0
1300172,911735,2025-07-12 23:17:52,Inspection,75.8,104116.66,0
1300173,912275,2023-10-13 02:17:38,Corrective,81.6,70416.93,0
1300174,910069,2024-11-22 19:10:19,Inspection,85.4,62919.83,0
1300175,913409,2024-11-09 04:45:09,Preventive,92.5,218298.73,0
1300176,911608,2025-02-26 23:08:02,Preventive,15.6,251822.51,0
1300177,912164,2025-11-13 07:42:35,Engine,62.8,262175.35,0
1300178,912775,2024-01-29 13:12:47,Tire,78.8,75222.54,0
1300179,911300,2023-02-10 11:42:07,Corrective,29.5,191218.96,0
1300180,912950,2025-01-16 18:20:38,Inspection,83.0,236351.04,0
1300181,910361,2025-09-27 15:00:27,Corrective,16.8,298517.5,1
1300182,910769,2023-07-19 21:13:38,Corrective,34.5,59351.16,1
1300183,912797,2023-01-28 19:10:05,Tire,58.6,275620.09,0
1300184,912300,2025-08-20 11:51:20,Preventive,113.7,204516.91,0
1300185,911025,2024-03-24 19:45:05,Engine,111.8,23769.22,0
1300186,910114,2025-06-30 09:42:08,Corrective,70.3,267510.82,0
1300187,912923,2025-06-17 01:49:15,Corrective,87.7,30501.38,0
1300188,910690,2024-10-12 21:29:58,Corrective,18.3,116925.26,0
1300189,910902,2025-12-29 15:55:48,Preventive,35.2,98303.35,0
1300190,911793,2023-06-24 15:58:53,Preventive,46.5,279321.2,0
1300191,911257,2024-06-16 07:04:24,Tire,96.5,142404.6,0
1300192,913413,2024-12-18 20:46:35,Preventive,108.8,13269.65,0
1300193,912243,2023-10-12 23:28:18,Engine,105.7,171737.47,1
1300194,912637,2025-05-10 11:53:45,Corrective,41.9,205543.03,0
1300195,911680,2024-06-07 16:32:58,Preventive,16.2,77531.34,0
1300196,913709,2024-04-11 13:29:49,Tire,44.7,207611.52,0
1300197,912996,2024-04-28 22:40:02,Inspection,102.3,77229.4,1
1300198,912725,2025-08-17 00:15:23,Preventive,14.1,101073.2,0
1300199,910609,2023-09-01 00:48:09,Tire,18.2,98195.51,0
1300200,913653,2025-03-07 09:30:39,Inspection,66.7,28263.98,1
1300201,910365,2025-12-20 01:03:38,Inspection,92.8,214460.96,0
1300202,911096,2025-07-03 17:09:18,Corrective,42.7,77505.16,0
1300203,913246,2025-09-27 16:12:26,Tire,39.0,261206.93,1
1300204,911301,2023-10-21 20:40:15,Inspection,38.3,104261.81,0
1300205,912542,2023-11-22 16:47:33,Engine,9.3,209570.1,0
1300206,911088,2024-03-18 09:20:57,Preventive,88.9,295412.88,1
1300207,913915,2024-08-09 17:58:11,Corrective,39.5,268150.89,0
1300208,911759,2024-12-27 07:05:23,Inspection,8.2,190283.38,1
1300209,912587,2025-01-03 13:14:12,Tire,117.5,192137.44,0
1300210,913723,2023-05-04 22:10:39,Inspection,59.2,278373.53,0
1300211,912969,2025-08-03 08:24:11,Tire,52.5,179341.95,0
1300212,910261,2025-03-13 22:35:05,Corrective,52.9,56990.65,0
1300213,910596,2025-09-23 08:20:02,Preventive,95.3,222825.62,0
1300214,913804,2025-03-01 13:31:30,Corrective,95.3,172149.72,1
1300215,912456,2023-07-02 14:03:15,Corrective,111.9,180345.86,0
1300216,910825,2023-07-20 19:27:18,Tire,42.0,143250.57,0
1300217,913629,2025-06-12 15:44:43,Preventive,53.8,62428.68,0
1300218,910764,2023-06-02 09:12:09,Inspection,111.3,11504.59,1
1300219,911898,2023-07-24 09:33:29,Tire,108.4,193176.25,0
1300220,911721,2025-02-05 22:22:12,Engine,95.1,239823.75,0
1300221,910513,2024-09-20 17:58:02,Corrective,15.3,254390.55,0
1300222,912120,2025-03-22 10:44:50,Preventive,111.3,84043.85,0
1300223,911310,2023-12-30 05:03:24,Inspection,94.5,152834.52,0
1300224,911080,2025-07-01 14:57:36,Engine,90.3,106813.34,0
1300225,910774,2025-01-22 05:29:51,Tire,116.9,123906.64,0
1300226,911380,2024-10-23 06:05:30,Tire,109.7,276084.04,0
1300227,912407,2025-06-14 23:25:54,Corrective,15.7,189188.59,0
1300228,910285,2025-07-17 14:32:14,Tire,56.6,243416.86,0
1300229,911401,2023-01-03 05:51:36,Preventive,81.6,2504.24,0
1300230,910061,2024-03-24 22:44:14,Tire,56.3,54671.86,0
1300231,910878,2023-05-03 04:37:30,Tire,4.9,101655.97,0
1300232,912821,2023-06-05 16:13:40,Corrective,72.1,123162.97,0
1300233,911127,2023-08-12 07:47:44,Inspection,73.5,17900.15,0
1300234,912221,2025-01-05 10:28:10,Engine,118.5,206897.03,1
1300235,912467,2025-01-04 07:14:01,Engine,69.5,29957.95,0
1300236,912266,2024-02-18 07:59:26,Inspection,22.2,92105.95,0
1300237,913504,2025-03-18 11:03:00,Tire,39.3,69430.14,0
1300238,910797,2023-01-01 00:21:21,Inspection,39.2,280226.62,0
1300239,911550,2023-01-25 11:17:38,Corrective,12.8,7471.92,1
1300240,910211,2024-02-15 09:34:56,Corrective,97.9,154743.1,0
1300241,913776,2024-05-14 17:08:54,Preventive,54.4,245098.44,0
1300242,913010,2023-03-13 08:01:37,Preventive,116.8,66414.66,0
1300243,910152,2024-11-24 23:12:34,Inspection,7.8,104182.89,0
1300244,910320,2025-02-26 15:13:35,Preventive,7.6,86641.55,0
1300245,910179,2023-07-21 04:14:40,Inspection,86.6,207723.95,0
1300246,912478,2025-07-31 12:11:03,Tire,108.3,171175.52,1
1300247,910652,2024-03-18 23:54:51,Corrective,29.0,19009.76,0
1300248,911756,2024-02-14 15:21:08,Tire,117.4,59131.94,0
1300249,912489,2024-01-21 18:37:21,Preventive,59.1,230396.31,0
1300250,910237,2024-10-14 17:18:53,Corrective,45.5,3226.24,0
1300251,912944,2024-01-31 23:05:10,Corrective,13.5,54253.41,1
1300252,910339,2025-07-07 08:47:03,Tire,30.2,82939.7,1
1300253,910392,2024-05-31 15:10:08,Corrective,118.7,231358.87,0
1300254,913130,2024-08-03 04:10:48,Corrective,7.4,204517.27,0
1300255,910650,2025-09-29 22:05:13,Corrective,30.3,244775.03,0
1300256,911965,2023-12-13 11:39:41,Inspection,16.6,232884.16,0
1300257,911178,2024-10-25 01:42:42,Tire,42.5,194550.68,1
1300258,910119,2025-03-02 10:02:21,Engine,9.1,118781.13,0
1300259,912120,2023-03-12 10:45:59,Tire,30.4,260600.7,0
1300260,912828,2024-12-26 07:21:25,Tire,78.0,194205.22,0
1300261,913364,2024-01-20 13:34:21,Corrective,2.1,89593.9,1
1300262,913015,2023-08-18 10:17:57,Inspection,116.9,160429.92,0
1300263,910671,2023-04-28 13:13:26,Inspection,12.8,135283.07,0
1300264,910250,2023-12-02 08:15:17,Preventive,18.2,54238.2,0
1300265,911657,2023-04-04 10:33:47,Corrective,97.6,220297.32,1
1300266,911955,2023-05-03 06:42:03,Preventive,86.0,165655.48,0
1300267,913669,2025-09-14 13:17:27,Tire,114.6,23347.44,0
1300268,910352,2024-03-18 19:18:21,Preventive,50.0,270952.69,1
1300269,910432,2023-08-07 07:15:04,Tire,101.8,65147.91,0
1300270,910571,2023-12-30 12:01:59,Preventive,75.2,10808.03,1
1300271,911897,2023-12-05 11:33:46,Tire,2.2,137911.48,0
1300272,911032,2024-05-10 03:31:04,Engine,25.1,280226.29,0
1300273,910728,2023-04-16 03:57:18,Preventive,73.7,152683.61,0
1300274,912057,2024-06-20 10:36:16,Tire,4.2,284361.68,0
1300275,911096,2025-05-27 19:44:52,Preventive,102.0,7787.38,0
1300276,910137,2025-01-27 10:31:57,Corrective,27.1,200306.65,0
1300277,913561,2024-03-13 22:01:22,Inspection,6.1,33898.83,1
1300278,910633,2024-09-13 07:20:21,Engine,95.5,50397.43,0
1300279,912589,2023-08-17 17:18:48,Engine,70.4,282302.58,1
1300280,911234,2023-01-31 07:47:53,Tire,106.6,255261.44,0
1300281,911791,2024-10-09 23:17:54,Preventive,0.4,261799.73,0
1300282,911903,2025-01-07 10:22:24,Tire,45.4,48219.59,0
1300283,912991,2025-02-10 19:10:48,Preventive,67.7,144910.33,0
1300284,913459,2025-10-02 17:54:27,Inspection,83.2,202584.53,0
1300285,912500,2023-07-31 01:23:51,Tire,90.6,161734.45,0
1300286,912065,2025-05-31 03:04:24,Corrective,15.4,112623.51,1
1300287,911135,2023-01-23 03:01:54,Engine,14.4,88804.16,0
1300288,913050,2024-11-30 17:58:33,Inspection,6.8,245578.16,0
1300289,913991,2023-01-21 00:37:39,Preventive,103.6,9197.9,0
1300290,913456,2024-11-26 12:53:00,Inspection,19.3,114076.2,0
1300291,911974,2024-06-05 05:21:41,Tire,46.4,201613.3,0
1300292,912596,2023-01-17 23:15:22,Corrective,24.5,213582.44,0
1300293,912210,2025-10-03 13:59:55,Corrective,86.5,234392.86,0
1300294,910937,2023-05-18 06:18:38,Inspection,103.7,77014.58,1
1300295,911553,2023-08-28 15:31:35,Preventive,83.3,149983.05,0
1300296,910092,2024-12-04 13:01:41,Engine,17.7,57505.01,1
1300297,912322,2024-07-19 06:46:10,Engine,79.2,113672.46,0
1300298,911373,2025-04-18 09:45:18,Inspection,97.3,283440.85,0
1300299,911754,2025-10-05 06:05:45,Tire,96.8,49872.79,0
1300300,910022,2024-07-24 02:11:52,Engine,8.5,214388.38,0
1300301,912193,2025-03-03 04:16:12,Engine,39.1,126667.07,0
1300302,911839,2025-12-12 17:30:18,Inspection,99.3,210709.84,0
1300303,913958,2024-06-17 23:24:32,Preventive,114.5,270545.0,0
1300304,910624,2024-11-17 18:20:22,Inspection,20.7,181554.77,0
1300305,910696,2023-04-25 14:28:53,Corrective,5.8,181005.31,0
1300306,913368,2025-12-04 11:18:40,Tire,35.2,58199.91,1
1300307,911493,2025-03-01 02:59:03,Inspection,90.8,139183.92,0
1300308,910576,2025-07-07 03:04:39,Engine,49.5,42000.45,0
1300309,910087,2023-01-15 05:25:22,Corrective,33.2,158021.7,0
1300310,910276,2024-10-22 12:40:51,Tire,17.7,193869.13,0
1300311,910317,2023-01-08 09:35:05,Preventive,88.4,154007.05,0
1300312,913942,2023-03-17 11:27:59,Corrective,21.6,267524.59,1
1300313,911674,2023-11-19 22:37:51,Corrective,10.4,181227.33,0
1300314,913192,2025-06-20 21:36:03,Inspection,85.5,50459.53,0
1300315,910999,2024-01-04 09:04:39,Preventive,100.9,168395.16,1
1300316,913667,2024-11-09 04:51:35,Inspection,72.2,141185.97,1
1300317,911600,2024-03-02 16:11:46,Engine,8.2,274527.64,0
1300318,912318,2025-04-19 05:22:43,Corrective,1.8,257482.9,0
1300319,912352,2025-06-07 05:29:05,Corrective,73.1,284885.52,0
1300320,910058,2025-01-18 07:27:33,Engine,84.2,207291.86,0
1300321,911136,2024-05-21 21:19:26,Inspection,24.2,133646.41,1
1300322,912178,2024-11-06 21:51:59,Tire,8.6,234055.39,0
1300323,912593,2024-12-02 21:28:14,Inspection,36.9,251414.13,1
1300324,912825,2024-01-05 23:47:38,Preventive,2.0,227686.23,0
1300325,911461,2024-06-11 17:47:19,Preventive,85.4,274938.17,0
1300326,912711,2024-12-30 09:02:06,Engine,63.2,199819.23,1
1300327,913530,2025-06-25 03:53:07,Inspection,39.0,256321.6,1
1300328,911845,2024-03-17 16:13:24,Engine,29.7,219672.98,0
1300329,911068,2023-02-12 04:00:35,Engine,114.4,162057.51,0
1300330,912340,2023-05-06 19:29:14,Corrective,69.3,256896.39,1
1300331,910917,2024-11-09 10:45:42,Corrective,65.3,134968.07,0
1300332,910960,2024-04-13 13:20:36,Inspection,68.7,179673.32,1
1300333,911361,2025-12-23 15:03:55,Preventive,75.5,125511.23,0
1300334,912707,2024-10-19 02:38:06,Engine,111.9,234256.89,0
1300335,912644,2025-05-01 15:04:54,Preventive,42.8,55293.39,0
1300336,913768,2023-08-18 13:50:41,Tire,78.1,175375.82,0
1300337,910038,2025-03-09 10:51:42,Engine,104.2,123811.79,0
1300338,911868,2023-09-03 05:05:24,Preventive,9.8,88662.53,0
1300339,911544,2023-12-26 10:56:51,Engine,70.0,70706.32,0
1300340,910474,2024-04-20 08:03:04,Corrective,119.5,142328.02,0
1300341,911617,2024-08-26 08:01:11,Preventive,41.7,246373.1,1
1300342,912040,2023-10-15 03:04:50,Engine,23.6,243332.72,0
1300343,912048,2023-07-04 16:03:15,Engine,16.8,158010.44,0
1300344,913082,2023-10-28 01:05:04,Tire,59.3,99844.78,1
1300345,913649,2023-10-14 05:32:51,Preventive,60.6,173459.65,1
1300346,910854,2023-12-30 12:19:32,Preventive,89.1,225828.45,0
1300347,910493,2025-04-12 07:16:09,Preventive,88.1,149907.86,0
1300348,910136,2023-05-26 05:49:55,Engine,48.9,151981.31,1
1300349,911847,2025-06-26 18:38:27,Preventive,111.6,57684.19,0
1300350,910941,2023-07-07 13:36:42,Preventive,97.0,152862.01,0
1300351,911662,2024-03-24 05:29:47,Preventive,116.6,29202.74,0
1300352,912168,2023-09-08 05:05:23,Tire,66.7,288044.82,0
1300353,913511,2025-05-07 12:49:26,Tire,2.1,47368.57,1
1300354,911282,2024-10-01 08:37:51,Tire,35.3,49053.58,0
1300355,910768,2024-11-07 03:29:18,Tire,49.5,8290.04,1
1300356,913985,2023-12-05 19:53:43,Inspection,31.0,223416.47,0
1300357,911649,2023-03-07 00:18:05,Inspection,107.2,25526.2,1
1300358,911820,2024-03-18 01:42:39,Corrective,56.5,202775.29,0
1300359,911739,2024-12-26 12:21:25,Inspection,62.8,167431.6,0
1300360,913134,2023-01-23 19:27:46,Inspection,70.2,36127.74,1
1300361,913484,2025-12-17 12:50:19,Corrective,30.5,67571.81,0
1300362,913488,2023-05-10 09:48:13,Inspection,37.0,252320.33,0
1300363,910396,2023-06-14 09:51:18,Preventive,35.1,290849.75,1
1300364,913040,2025-05-16 20:13:01,Corrective,114.2,82180.94,0
1300365,911087,2023-05-25 13:38:51,Preventive,16.5,213284.82,0
1300366,913988,2025-11-08 22:12:43,Inspection,95.9,35830.92,1
1300367,910827,2024-08-29 05:52:31,Corrective,58.3,143295.49,1
1300368,912085,2024-11-05 21:33:55,Preventive,11.6,258858.59,0
1300369,913365,2025-03-09 23:17:12,Corrective,19.6,232001.37,0
1300370,910752,2023-02-20 06:03:02,Corrective,39.4,170251.39,0
1300371,913164,2023-10-28 03:15:23,Corrective,7.9,83375.71,0
1300372,910716,2025-04-01 01:42:32,Preventive,5.7,253884.1,0
1300373,910755,2023-07-25 21:47:04,Corrective,101.9,284811.64,0
1300374,911359,2024-05-04 10:29:06,Tire,10.4,88100.31,0
1300375,913615,2023-11-14 15:29:31,Inspection,88.7,241280.28,1
1300376,911112,2024-12-05 16:33:47,Engine,75.5,120804.91,0
1300377,912473,2025-10-27 11:12:41,Tire,71.1,288249.0,0
1300378,910980,2024-04-30 10:31:36,Preventive,95.1,198148.78,0
1300379,913448,2025-10-04 09:03:35,Corrective,48.9,172380.31,0
1300380,911937,2025-03-15 06:29:41,Tire,28.7,155612.01,0
1300381,911146,2024-05-28 17:28:58,Corrective,47.5,21163.05,0
1300382,911432,2023-04-07 04:47:05,Corrective,34.5,902.09,0
1300383,911873,2024-03-29 18:33:13,Corrective,92.6,13981.35,0
1300384,913205,2023-12-04 10:54:51,Corrective,82.2,115615.85,1
1300385,912152,2025-05-05 14:14:55,Preventive,74.0,138439.86,0
1300386,911169,2025-01-12 17:41:06,Engine,97.9,259360.61,1
1300387,911562,2023-12-17 11:47:56,Preventive,104.5,247436.44,0
1300388,910616,2025-12-08 19:34:45,Tire,112.0,203099.5,0
1300389,911261,2023-12-10 05:37:03,Engine,38.7,298395.88,1
