Driver_ID,Driver_Name,Age,Experience_Years,Region,Safety_Score,Safety_Category
900196,Driver_195,27,11,East,55.6,Low
900197,Driver_196,24,8,North,58.0,Low
900198,Driver_197,28,25,North,61.7,Average
900199,Driver_198,60,8,West,77.2,Good
900200,Driver_199,42,20,East,66.1,Average
900201,Driver_200,23,30,North,70.8,Average
900202,Driver_201,26,26,South,79.8,Good
900203,Driver_202,29,16,North,85.7,Good
900204,Driver_203,28,6,West,68.2,Average
900205,Driver_204,55,20,West,81.6,Good
900206,Driver_205,47,11,Central,81.8,Good
900207,Driver_206,52,9,South,92.2,Excellent
900208,Driver_207,28,17,South,86.6,Good
900209,Driver_208,46,25,East,91.0,Excellent
900210,Driver_209,28,30,East,56.7,Low
900211,Driver_210,29,2,East,83.0,Good
900212,Driver_211,42,1,East,74.4,Average
900213,Driver_212,51,15,North,60.7,Average
900214,Driver_213,27,28,West,69.8,Average
900215,Driver_214,43,8,Central,61.1,Average
900216,Driver_215,55,29,North,85.8,Good
900217,Driver_216,26,18,East,95.2,Excellent
900218,Driver_217,35,5,East,89.9,Good
900219,Driver_218,48,2,North,58.5,Low
900220,Driver_219,29,13,South,87.9,Good
900221,Driver_220,24,3,North,67.3,Average
900222,Driver_221,39,19,South,71.8,Average
900223,Driver_222,47,30,North,58.8,Low
900224,Driver_223,46,10,Central,82.0,Good
900225,Driver_224,23,25,Central,97.2,Excellent
900226,Driver_225,26,24,East,71.9,Average
900227,Driver_226,33,7,West,52.5,Low
900228,Driver_227,24,1,Central,81.0,Good
900229,Driver_228,26,20,East,81.9,Good
900230,Driver_229,55,21,North,79.0,Good
900231,Driver_230,44,2,East,76.3,Good
900232,Driver_231,39,20,East,93.2,Excellent
900233,Driver_232,42,22,North,56.9,Low
900234,Driver_233,50,24,West,90.0,Good
900235,Driver_234,30,10,South,88.0,Good
900236,Driver_235,40,30,West,50.2,Low
900237,Driver_236,63,0,North,87.4,Good
900238,Driver_237,36,6,South,71.1,Average
900239,Driver_238,39,7,East,84.8,Good
900240,Driver_239,48,25,North,96.4,Excellent
900241,Driver_240,35,18,South,58.0,Low
900242,Driver_241,53,20,South,80.6,Good
900243,Driver_242,50,12,South,60.6,Average
900244,Driver_243,23,15,North,72.0,Average
900245,Driver_244,39,8,North,53.4,Low
900246,Driver_245,52,24,South,83.4,Good
900247,Driver_246,56,9,South,54.7,Low
900248,Driver_247,36,1,West,58.9,Low
900249,Driver_248,36,4,South,85.3,Good
900250,Driver_249,49,1,West,93.3,Excellent
900251,Driver_250,63,0,South,94.8,Excellent
900252,Driver_251,38,3,East,78.2,Good
900253,Driver_252,21,26,South,63.8,Average
900254,Driver_253,35,1,East,81.5,Good
900255,Driver_254,42,11,Central,94.8,Excellent
900256,Driver_255,49,14,South,89.2,Good
900257,Driver_256,43,13,South,61.1,Average
900258,Driver_257,55,5,Central,87.7,Good
900259,Driver_258,43,12,East,50.0,Low
900260,Driver_259,44,12,East,85.5,Good
900261,Driver_260,53,0,Central,60.0,Low
900262,Driver_261,56,14,East,56.3,Low
900263,Driver_262,52,17,West,91.9,Excellent
900264,Driver_263,60,26,East,55.1,Low
900265,Driver_264,23,13,West,90.2,Excellent
900266,Driver_265,52,22,Central,66.6,Average
900267,Driver_266,33,27,West,97.7,Excellent
900268,Driver_267,51,16,North,93.7,Excellent
900269,Driver_268,28,12,North,79.9,Good
900270,Driver_269,61,29,North,52.0,Low
900271,Driver_270,50,21,North,82.7,Good
900272,Driver_271,36,18,Central,94.7,Excellent
900273,Driver_272,23,10,Central,82.2,Good
900274,Driver_273,24,30,East,56.5,Low
900275,Driver_274,44,5,North,93.8,Excellent
900276,Driver_275,30,16,Central,95.9,Excellent
900277,Driver_276,26,5,South,58.1,Low
900278,Driver_277,23,6,North,87.9,Good
900279,Driver_278,32,14,East,65.7,Average
900280,Driver_279,37,26,Central,74.4,Average
900281,Driver_280,41,16,West,88.5,Good
900282,Driver_281,39,7,Central,51.7,Low
900283,Driver_282,61,0,West,62.7,Average
900284,Driver_283,39,16,Central,67.8,Average
900285,Driver_284,21,8,South,72.3,Average
900286,Driver_285,44,18,West,90.5,Excellent
900287,Driver_286,28,21,North,89.8,Good
900288,Driver_287,38,11,South,94.6,Excellent
900289,Driver_288,62,26,South,51.8,Low
900290,Driver_289,54,4,South,56.0,Low
900291,Driver_290,30,16,East,55.1,Low
900292,Driver_291,48,28,East,96.3,Excellent
900293,Driver_292,44,25,North,61.5,Average
900294,Driver_293,24,1,East,55.2,Low
900295,Driver_294,51,26,West,69.3,Average
900296,Driver_295,58,18,South,89.1,Good
900297,Driver_296,36,4,South,63.7,Average
900298,Driver_297,34,12,West,94.4,Excellent
900299,Driver_298,38,4,Central,77.6,Good
900300,Driver_299,24,4,West,97.9,Excellent
900301,Driver_300,31,2,North,59.3,Low
900302,Driver_301,59,25,Central,89.7,Good
900303,Driver_302,31,10,South,56.1,Low
900304,Driver_303,50,30,West,78.1,Good
900305,Driver_304,52,8,West,57.5,Low
900306,Driver_305,60,22,East,59.0,Low
900307,Driver_306,23,22,East,86.0,Good
900308,Driver_307,45,14,East,50.8,Low
900309,Driver_308,53,15,South,61.3,Average
900310,Driver_309,39,4,North,80.5,Good
900311,Driver_310,27,3,North,66.1,Average
900312,Driver_311,33,12,West,65.5,Average
900313,Driver_312,24,16,West,78.8,Good
900314,Driver_313,35,0,South,94.0,Excellent
900315,Driver_314,24,26,North,81.1,Good
900316,Driver_315,50,13,North,67.6,Average
900317,Driver_316,51,29,East,98.5,Excellent
900318,Driver_317,46,14,South,55.1,Low
900319,Driver_318,32,17,West,92.9,Excellent
900320,Driver_319,22,16,Central,67.5,Average
900321,Driver_320,25,16,West,83.0,Good
900322,Driver_321,44,24,East,86.4,Good
900323,Driver_322,30,2,Central,54.4,Low
900324,Driver_323,60,26,West,73.0,Average
900325,Driver_324,59,20,South,77.6,Good
900326,Driver_325,37,29,Central,51.9,Low
900327,Driver_326,61,9,East,50.5,Low
900328,Driver_327,55,26,East,54.0,Low
900329,Driver_328,31,12,South,50.5,Low
900330,Driver_329,47,14,West,58.7,Low
900331,Driver_330,63,2,West,99.8,Excellent
900332,Driver_331,49,13,East,73.8,Average
900333,Driver_332,54,6,North,82.8,Good
900334,Driver_333,61,26,South,63.1,Average
900335,Driver_334,26,4,West,94.9,Excellent
900336,Driver_335,22,7,North,68.1,Average
900337,Driver_336,28,8,West,56.8,Low
900338,Driver_337,44,29,East,93.7,Excellent
900339,Driver_338,45,2,North,79.7,Good
900340,Driver_339,25,19,East,59.7,Low
900341,Driver_340,40,20,North,77.6,Good
900342,Driver_341,45,1,East,56.8,Low
900343,Driver_342,37,20,West,66.5,Average
900344,Driver_343,61,25,North,57.5,Low
900345,Driver_344,31,8,West,65.1,Average
900346,Driver_345,62,12,Central,71.2,Average
900347,Driver_346,34,11,Central,78.1,Good
900348,Driver_347,34,1,North,57.0,Low
900349,Driver_348,47,21,Central,59.7,Low
900350,Driver_349,41,25,West,54.6,Low
900351,Driver_350,46,13,East,63.1,Average
900352,Driver_351,26,2,North,96.3,Excellent
900353,Driver_352,57,11,South,94.3,Excellent
900354,Driver_353,44,24,East,98.8,Excellent
900355,Driver_354,55,21,North,65.2,Average
900356,Driver_355,33,29,West,52.6,Low
900357,Driver_356,48,4,West,74.4,Average
900358,Driver_357,63,8,Central,81.9,Good
900359,Driver_358,50,30,Central,71.7,Average
900360,Driver_359,62,8,East,82.6,Good
900361,Driver_360,23,20,West,89.0,Good
900362,Driver_361,29,25,South,59.8,Low
900363,Driver_362,42,15,Central,65.4,Average
900364,Driver_363,55,8,Central,57.8,Low
900365,Driver_364,30,9,Central,71.0,Average
900366,Driver_365,31,14,South,72.8,Average
900367,Driver_366,21,8,South,71.2,Average
900368,Driver_367,23,22,South,69.1,Average
900369,Driver_368,52,15,Central,83.2,Good
900370,Driver_369,22,5,Central,92.1,Excellent
900371,Driver_370,52,29,South,52.7,Low
900372,Driver_371,29,12,North,54.3,Low
900373,Driver_372,57,25,Central,82.9,Good
900374,Driver_373,59,21,South,67.8,Average
900375,Driver_374,38,8,North,72.7,Average
900376,Driver_375,29,3,North,84.7,Good
900377,Driver_376,54,12,West,63.9,Average
900378,Driver_377,30,14,Central,69.0,Average
900379,Driver_378,23,9,West,76.9,Good
900380,Driver_379,50,12,Central,59.0,Low
900381,Driver_380,43,12,South,56.6,Low
900382,Driver_381,56,9,West,58.8,Low
900383,Driver_382,56,24,South,59.5,Low
900384,Driver_383,50,4,West,96.9,Excellent
900385,Driver_384,24,20,East,75.2,Good
900386,Driver_385,41,22,West,89.8,Good
900387,Driver_386,37,2,South,80.3,Good
900388,Driver_387,40,24,South,87.0,Good
900389,Driver_388,22,3,South,69.0,Average
900390,Driver_389,40,1,North,89.2,Good
900391,Driver_390,59,28,South,76.3,Good
900392,Driver_391,60,28,East,68.4,Average
900393,Driver_392,60,25,East,69.1,Average
900394,Driver_393,62,28,South,78.8,Good
900395,Driver_394,22,8,West,60.0,Low
900396,Driver_395,53,11,East,94.1,Excellent
900397,Driver_396,60,15,North,51.7,Low
900398,Driver_397,23,29,East,73.3,Average
900399,Driver_398,49,16,South,61.3,Average
900400,Driver_399,43,19,North,96.5,Excellent
900401,Driver_400,59,18,North,86.7,Good
900402,Driver_401,41,25,Central,78.9,Good
900403,Driver_402,24,6,North,70.4,Average
900404,Driver_403,56,0,Central,54.8,Low
900405,Driver_404,46,9,Central,97.1,Excellent
900406,Driver_405,32,28,North,78.6,Good
900407,Driver_406,32,23,West,77.7,Good
900408,Driver_407,42,20,Central,68.8,Average
900409,Driver_408,58,8,Central,87.5,Good
900410,Driver_409,42,7,West,70.1,Average
900411,Driver_410,42,2,East,62.1,Average
900412,Driver_411,30,8,Central,77.5,Good
900413,Driver_412,56,0,Central,84.6,Good
900414,Driver_413,63,26,South,85.3,Good
900415,Driver_414,42,16,East,99.8,Excellent
900416,Driver_415,51,1,South,57.6,Low
900417,Driver_416,53,11,East,79.3,Good
900418,Driver_417,32,9,West,50.4,Low
900419,Driver_418,55,7,Central,60.9,Average
900420,Driver_419,46,11,South,94.3,Excellent
900421,Driver_420,29,16,East,65.9,Average
900422,Driver_421,30,3,South,55.4,Low
900423,Driver_422,63,21,West,64.7,Average
900424,Driver_423,48,20,Central,96.5,Excellent
900425,Driver_424,42,15,West,61.1,Average
900426,Driver_425,54,19,East,94.8,Excellent
900427,Driver_426,31,20,North,87.4,Good
900428,Driver_427,22,24,Central,79.7,Good
900429,Driver_428,29,23,Central,74.2,Average
900430,Driver_429,44,29,North,72.3,Average
900431,Driver_430,59,26,North,78.0,Good
900432,Driver_431,28,28,East,55.7,Low
900433,Driver_432,47,27,South,61.1,Average
900434,Driver_433,43,15,North,55.5,Low
900435,Driver_434,33,27,Central,61.1,Average
900436,Driver_435,50,11,South,98.7,Excellent
900437,Driver_436,55,13,East,80.1,Good
900438,Driver_437,26,28,North,69.3,Average
900439,Driver_438,63,19,South,79.7,Good
900440,Driver_439,25,20,South,77.4,Good
900441,Driver_440,36,25,North,50.7,Low
900442,Driver_441,40,28,South,55.8,Low
900443,Driver_442,24,22,West,74.1,Average
900444,Driver_443,42,24,South,74.6,Average
900445,Driver_444,37,29,West,58.7,Low
900446,Driver_445,39,14,West,60.5,Average
900447,Driver_446,58,0,South,69.4,Average
900448,Driver_447,37,12,Central,94.9,Excellent
900449,Driver_448,62,17,Central,75.1,Good
900450,Driver_449,52,5,Central,61.9,Average
900451,Driver_450,46,27,South,93.2,Excellent
900452,Driver_451,42,30,South,50.7,Low
900453,Driver_452,60,25,Central,84.9,Good
900454,Driver_453,25,15,Central,75.3,Good
900455,Driver_454,35,1,West,61.2,Average
900456,Driver_455,36,26,Central,89.6,Good
900457,Driver_456,29,16,South,54.7,Low
900458,Driver_457,59,29,South,60.7,Average
900459,Driver_458,33,5,South,53.6,Low
900460,Driver_459,24,25,South,61.0,Average
900461,Driver_460,59,23,North,74.3,Average
900462,Driver_461,46,13,Central,63.3,Average
900463,Driver_462,21,0,North,87.1,Good
900464,Driver_463,54,4,North,68.0,Average
900465,Driver_464,54,11,West,90.3,Excellent
900466,Driver_465,55,25,South,97.8,Excellent
900467,Driver_466,24,12,East,91.5,Excellent
900468,Driver_467,47,11,Central,96.9,Excellent
900469,Driver_468,61,11,West,73.4,Average
900470,Driver_469,54,18,Central,59.3,Low
900471,Driver_470,23,26,South,69.9,Average
900472,Driver_471,29,11,West,63.1,Average
900473,Driver_472,29,18,Central,57.1,Low
900474,Driver_473,54,10,East,67.5,Average
900475,Driver_474,26,15,South,97.8,Excellent
900476,Driver_475,57,21,Central,75.5,Good
900477,Driver_476,21,4,West,92.3,Excellent
900478,Driver_477,47,13,East,70.3,Average
900479,Driver_478,57,1,East,80.8,Good
900480,Driver_479,41,14,North,94.2,Excellent
900481,Driver_480,45,5,South,74.1,Average
900482,Driver_481,62,7,South,70.4,Average
900483,Driver_482,31,7,East,75.4,Good
900484,Driver_483,34,20,Central,74.3,Average
900485,Driver_484,28,15,East,85.8,Good
900486,Driver_485,34,5,East,51.4,Low
900487,Driver_486,42,22,North,80.3,Good
900488,Driver_487,26,28,West,82.8,Good
900489,Driver_488,55,3,West,64.7,Average
900490,Driver_489,22,29,Central,79.9,Good
900491,Driver_490,40,19,Central,86.7,Good
900492,Driver_491,26,10,Central,71.5,Average
900493,Driver_492,27,9,Central,81.9,Good
900494,Driver_493,52,13,East,85.3,Good
900495,Driver_494,42,7,West,72.5,Average
900496,Driver_495,26,2,South,52.0,Low
900497,Driver_496,34,9,Central,55.2,Low
900498,Driver_497,31,18,Central,75.7,Good
900499,Driver_498,21,10,Central,85.2,Good
900500,Driver_499,31,23,East,57.5,Low
900501,Driver_500,57,16,South,74.2,Average
900502,Driver_501,47,7,North,51.8,Low
900503,Driver_502,46,7,West,79.6,Good
900504,Driver_503,40,23,East,50.2,Low
900505,Driver_504,29,0,Central,99.1,Excellent
900506,Driver_505,57,6,South,70.1,Average
900507,Driver_506,29,30,East,62.7,Average
900508,Driver_507,59,30,West,70.4,Average
900509,Driver_508,25,13,South,86.8,Good
900510,Driver_509,62,8,West,84.9,Good
900511,Driver_510,36,0,Central,74.5,Average
900512,Driver_511,30,28,Central,53.4,Low
900513,Driver_512,21,1,East,94.6,Excellent
900514,Driver_513,59,5,South,78.2,Good
900515,Driver_514,35,17,South,62.7,Average
900516,Driver_515,46,24,West,77.6,Good
900517,Driver_516,45,23,Central,79.8,Good
900518,Driver_517,22,29,South,79.9,Good
900519,Driver_518,42,12,East,88.8,Good
900520,Driver_519,46,7,West,68.5,Average
900521,Driver_520,37,29,East,58.0,Low
900522,Driver_521,52,27,North,96.0,Excellent
900523,Driver_522,22,30,West,51.7,Low
900524,Driver_523,57,0,South,80.0,Good
900525,Driver_524,45,2,West,75.5,Good
900526,Driver_525,50,0,West,75.1,Good
900527,Driver_526,47,2,East,84.0,Good
900528,Driver_527,50,27,Central,92.7,Excellent
900529,Driver_528,58,2,East,77.0,Good
900530,Driver_529,63,6,South,95.7,Excellent
900531,Driver_530,61,14,North,69.5,Average
900532,Driver_531,29,24,Central,84.9,Good
900533,Driver_532,39,17,North,76.3,Good
900534,Driver_533,55,17,East,57.4,Low
900535,Driver_534,48,24,North,50.6,Low
900536,Driver_535,33,29,Central,51.3,Low
900537,Driver_536,50,28,East,66.3,Average
900538,Driver_537,23,1,North,94.9,Excellent
900539,Driver_538,57,25,Central,82.5,Good
900540,Driver_539,46,2,West,58.1,Low
900541,Driver_540,33,28,South,95.8,Excellent
900542,Driver_541,41,5,South,68.8,Average
900543,Driver_542,23,29,East,54.0,Low
900544,Driver_543,29,27,Central,62.7,Average
900545,Driver_544,28,4,South,76.7,Good
900546,Driver_545,55,21,North,72.7,Average
900547,Driver_546,58,15,East,96.2,Excellent
900548,Driver_547,51,27,East,87.8,Good
900549,Driver_548,24,8,West,87.1,Good
900550,Driver_549,50,24,Central,63.0,Average
900551,Driver_550,53,16,North,64.9,Average
900552,Driver_551,38,30,Central,53.2,Low
900553,Driver_552,51,2,West,75.5,Good
900554,Driver_553,41,21,East,58.4,Low
900555,Driver_554,40,1,Central,63.9,Average
900556,Driver_555,24,12,North,65.6,Average
900557,Driver_556,24,7,East,71.2,Average
900558,Driver_557,57,24,West,65.8,Average
900559,Driver_558,61,5,South,69.5,Average
900560,Driver_559,35,4,West,66.8,Average
900561,Driver_560,22,20,South,70.4,Average
900562,Driver_561,36,6,South,75.8,Good
900563,Driver_562,50,10,East,81.5,Good
900564,Driver_563,44,22,West,56.1,Low
900565,Driver_564,38,26,South,82.4,Good
900566,Driver_565,26,1,East,94.6,Excellent
900567,Driver_566,33,11,South,70.9,Average
900568,Driver_567,40,9,South,61.7,Average
900569,Driver_568,50,15,West,59.5,Low
900570,Driver_569,43,27,South,67.6,Average
900571,Driver_570,40,21,Central,81.0,Good
900572,Driver_571,38,1,East,53.2,Low
900573,Driver_572,32,30,South,94.1,Excellent
900574,Driver_573,56,3,Central,91.4,Excellent
900575,Driver_574,22,29,East,89.7,Good
900576,Driver_575,60,28,South,91.1,Excellent
900577,Driver_576,22,3,South,78.4,Good
900578,Driver_577,46,4,West,84.4,Good
900579,Driver_578,62,9,West,52.5,Low
900580,Driver_579,32,22,South,85.2,Good
900581,Driver_580,62,26,Central,57.9,Low
900582,Driver_581,46,5,North,57.0,Low
900583,Driver_582,49,23,South,52.8,Low
900584,Driver_583,60,8,East,53.6,Low
900585,Driver_584,50,29,East,66.2,Average
900586,Driver_585,22,21,West,73.1,Average
900587,Driver_586,22,12,East,60.3,Average
900588,Driver_587,52,24,East,82.5,Good
900589,Driver_588,27,9,West,80.3,Good
900590,Driver_589,23,7,West,93.4,Excellent
900591,Driver_590,22,3,North,83.4,Good
900592,Driver_591,41,28,Central,80.9,Good
900593,Driver_592,32,21,North,82.9,Good
900594,Driver_593,23,3,South,63.0,Average
900595,Driver_594,32,21,West,70.3,Average
900596,Driver_595,55,26,East,61.9,Average
900597,Driver_596,36,3,North,56.1,Low
900598,Driver_597,44,29,West,73.1,Average
900599,Driver_598,42,4,South,65.8,Average
900600,Driver_599,63,3,Central,88.1,Good
900601,Driver_600,55,11,East,72.8,Average
900602,Driver_601,53,16,North,79.5,Good
900603,Driver_602,60,2,East,63.7,Average
900604,Driver_603,27,17,North,90.0,Good
900605,Driver_604,22,19,West,78.3,Good
900606,Driver_605,34,25,South,96.5,Excellent
900607,Driver_606,60,23,North,94.0,Excellent
900608,Driver_607,21,3,East,72.5,Average
900609,Driver_608,23,26,North,63.4,Average
900610,Driver_609,62,1,South,95.7,Excellent
900611,Driver_610,32,23,North,60.2,Average
900612,Driver_611,43,27,West,59.1,Low
900613,Driver_612,33,0,North,94.2,Excellent
900614,Driver_613,33,1,West,79.5,Good
900615,Driver_614,22,26,Central,64.9,Average
900616,Driver_615,30,20,East,93.3,Excellent
900617,Driver_616,51,26,North,74.0,Average
