Warehouse_ID,Warehouse_Name,City,Capacity_SQFT,Storage_Cost_Per_Day,Utilization_Pct
920089,WH_88,Pune,502508,11792.62,82.6
920090,WH_89,Pune,534273,28303.91,59.0
920091,WH_90,Hyderabad,759861,37042.07,74.8
920092,WH_91,Bengaluru,438689,20669.91,98.0
920093,WH_92,Pune,588139,5138.31,57.9
920094,WH_93,Chennai,124186,16193.51,91.8
920095,WH_94,Pune,99251,29095.98,87.9
920096,WH_95,Bengaluru,35061,24174.72,65.8
920097,WH_96,Mumbai,950961,18820.66,32.8
920098,WH_97,Mumbai,660891,21399.18,31.3
920099,WH_98,Delhi,932978,18972.71,63.1
920100,WH_99,Hyderabad,340070,42536.77,69.1
920101,WH_100,Pune,621035,3304.26,45.9
920102,WH_101,Kolkata,486482,14168.81,66.6
920103,WH_102,Delhi,249236,46497.12,77.3
920104,WH_103,Mumbai,345117,14576.9,88.4
920105,WH_104,Hyderabad,843007,8693.16,68.8
920106,WH_105,Bengaluru,904669,37714.83,89.5
920107,WH_106,Chennai,161212,29346.84,50.1
920108,WH_107,Delhi,926042,29963.48,84.9
920109,WH_108,Delhi,260287,23860.03,96.7
920110,WH_109,Mumbai,210596,18523.79,30.3
920111,WH_110,Mumbai,602430,26328.24,52.5
920112,WH_111,Kolkata,79770,19479.12,57.4
920113,WH_112,Delhi,675362,33099.96,96.0
920114,WH_113,Hyderabad,730687,18142.81,97.6
920115,WH_114,Chennai,222204,3509.45,91.6
920116,WH_115,Mumbai,586818,40615.49,62.7
920117,WH_116,Bengaluru,619197,19083.06,30.2
920118,WH_117,Pune,809410,8127.11,75.3
920119,WH_118,Delhi,765611,33289.68,79.9
920120,WH_119,Chennai,105059,19145.8,49.8
920121,WH_120,Hyderabad,657137,32688.18,42.9
920122,WH_121,Kolkata,353421,18331.54,95.7
920123,WH_122,Kolkata,888665,17305.42,89.1
920124,WH_123,Hyderabad,139109,10109.8,42.4
920125,WH_124,Delhi,866541,18670.27,92.3
920126,WH_125,Hyderabad,858415,11589.97,73.7
920127,WH_126,Delhi,682030,18147.52,56.7
920128,WH_127,Hyderabad,410393,13640.11,40.0
920129,WH_128,Kolkata,184809,8639.01,62.1
920130,WH_129,Delhi,930419,2257.93,80.4
920131,WH_130,Pune,575232,33821.3,88.4
920132,WH_131,Chennai,753931,37462.78,98.0
920133,WH_132,Delhi,299864,23009.41,89.1
920134,WH_133,Bengaluru,211549,10846.07,78.2
920135,WH_134,Bengaluru,402329,36649.45,97.7
920136,WH_135,Pune,272713,46476.5,94.7
920137,WH_136,Kolkata,484936,21918.0,53.5
920138,WH_137,Chennai,432600,22909.49,53.5
920139,WH_138,Chennai,525108,27042.54,89.8
920140,WH_139,Pune,53276,40731.01,64.9
920141,WH_140,Chennai,68687,41782.73,48.6
920142,WH_141,Pune,342794,21093.47,68.1
920143,WH_142,Pune,153201,47750.6,76.4
920144,WH_143,Chennai,140908,25932.25,34.4
920145,WH_144,Chennai,26288,15469.52,95.6
920146,WH_145,Mumbai,774484,13331.33,32.4
920147,WH_146,Kolkata,682035,43699.76,79.8
920148,WH_147,Kolkata,750266,38918.41,46.8
920149,WH_148,Delhi,955984,37307.68,97.3
920150,WH_149,Kolkata,680341,23448.97,79.7
920151,WH_150,Kolkata,601044,42433.61,55.8
920152,WH_151,Chennai,315340,24256.14,86.4
920153,WH_152,Chennai,68265,48553.53,45.5
920154,WH_153,Chennai,655886,30234.56,42.4
920155,WH_154,Pune,340450,23331.99,68.2
920156,WH_155,Chennai,664781,6353.84,92.9
920157,WH_156,Mumbai,712131,15137.01,35.4
920158,WH_157,Chennai,770957,4865.7,98.9
920159,WH_158,Delhi,754897,42263.99,84.0
920160,WH_159,Pune,370595,16407.51,67.8
920161,WH_160,Kolkata,768297,23460.52,62.3
920162,WH_161,Pune,820220,5388.35,82.9
920163,WH_162,Kolkata,173235,40654.67,56.1
920164,WH_163,Hyderabad,38308,1672.25,34.1
920165,WH_164,Bengaluru,260645,45967.28,88.8
920166,WH_165,Kolkata,46672,6701.56,73.8
920167,WH_166,Delhi,749060,49927.42,68.7
920168,WH_167,Hyderabad,820097,5783.32,54.2
920169,WH_168,Chennai,548777,29079.71,47.6
920170,WH_169,Delhi,917919,36498.66,52.7
920171,WH_170,Delhi,981120,37144.44,76.3
920172,WH_171,Bengaluru,164255,48710.15,97.9
920173,WH_172,Mumbai,685616,35182.15,85.3
920174,WH_173,Hyderabad,904005,6521.47,49.5
920175,WH_174,Chennai,786600,7051.63,62.1
920176,WH_175,Pune,332339,31633.75,77.2
920177,WH_176,Delhi,285381,19101.11,91.4
920178,WH_177,Chennai,688697,48389.34,73.2
920179,WH_178,Pune,162580,9781.34,40.7
920180,WH_179,Pune,287749,22903.97,71.0
920181,WH_180,Hyderabad,90447,43610.8,66.0
920182,WH_181,Mumbai,975720,16154.38,50.6
920183,WH_182,Pune,297096,1031.95,55.7
920184,WH_183,Chennai,347962,21354.8,39.2
920185,WH_184,Mumbai,311415,19086.91,73.0
920186,WH_185,Bengaluru,670253,37288.85,83.2
920187,WH_186,Bengaluru,872470,11034.6,36.7
920188,WH_187,Kolkata,991420,13936.12,95.7
920189,WH_188,Delhi,482646,580.07,59.9
920190,WH_189,Bengaluru,594300,34927.79,75.5
920191,WH_190,Mumbai,961306,14783.89,94.3
920192,WH_191,Hyderabad,537185,23953.06,42.1
920193,WH_192,Chennai,233643,23678.69,69.4
920194,WH_193,Mumbai,17263,3227.2,78.1
920195,WH_194,Chennai,387865,33500.11,78.2
920196,WH_195,Chennai,614829,29579.82,65.8
920197,WH_196,Kolkata,530565,11479.34,91.7
920198,WH_197,Hyderabad,753467,39731.85,34.9
920199,WH_198,Bengaluru,943217,46477.74,85.1
920200,WH_199,Kolkata,134904,30516.58,89.1
920201,WH_200,Kolkata,574777,10888.83,40.8
920202,WH_201,Hyderabad,216785,21226.66,43.6
920203,WH_202,Chennai,380186,30119.58,32.3
920204,WH_203,Bengaluru,135333,32268.83,36.5
920205,WH_204,Bengaluru,972835,17908.63,82.1
920206,WH_205,Mumbai,847609,25706.42,85.8
920207,WH_206,Mumbai,297059,4100.9,36.8
920208,WH_207,Mumbai,946191,16768.11,42.5
920209,WH_208,Pune,457413,16323.06,97.6
920210,WH_209,Bengaluru,730258,19680.36,91.7
920211,WH_210,Delhi,44191,41785.16,36.8
920212,WH_211,Hyderabad,758075,45264.08,37.9
920213,WH_212,Mumbai,407441,42715.43,53.3
920214,WH_213,Mumbai,831475,29548.96,59.6
920215,WH_214,Bengaluru,593628,24093.11,60.4
920216,WH_215,Pune,690586,8585.01,58.3
920217,WH_216,Pune,771086,20022.22,44.4
920218,WH_217,Delhi,581857,10336.79,40.6
920219,WH_218,Delhi,96205,45188.34,76.8
920220,WH_219,Chennai,563796,14307.77,55.3
920221,WH_220,Pune,839464,4408.78,71.9
920222,WH_221,Bengaluru,115756,35031.58,54.5
920223,WH_222,Delhi,143943,22804.86,55.9
920224,WH_223,Bengaluru,132986,3175.05,57.0
920225,WH_224,Mumbai,676837,16736.93,32.6
920226,WH_225,Mumbai,44736,44548.45,63.7
920227,WH_226,Delhi,410469,48414.51,93.6
920228,WH_227,Pune,517723,44239.52,37.9
920229,WH_228,Kolkata,798246,48581.01,51.6
920230,WH_229,Bengaluru,521260,19811.88,31.2
920231,WH_230,Chennai,432804,49513.43,57.6
920232,WH_231,Chennai,83237,14958.14,41.2
920233,WH_232,Delhi,436098,10240.55,32.1
920234,WH_233,Kolkata,319616,22369.41,40.3
920235,WH_234,Bengaluru,647726,11942.54,88.4
920236,WH_235,Mumbai,350057,4202.27,60.1
920237,WH_236,Kolkata,501372,12406.5,42.9
920238,WH_237,Bengaluru,745828,44472.8,86.2
920239,WH_238,Mumbai,154278,1605.58,64.2
920240,WH_239,Chennai,537641,20469.46,77.2
920241,WH_240,Pune,464523,37362.29,78.1
920242,WH_241,Delhi,533871,19456.37,85.3
920243,WH_242,Bengaluru,289778,2637.12,42.5
920244,WH_243,Mumbai,940295,8145.61,91.6
920245,WH_244,Mumbai,650868,1311.07,96.3
920246,WH_245,Pune,86739,40455.04,69.5
920247,WH_246,Hyderabad,166014,16434.7,56.2
920248,WH_247,Pune,247016,28664.86,65.0
920249,WH_248,Bengaluru,134368,25159.78,77.1
920250,WH_249,Bengaluru,358456,14687.95,98.7
920251,WH_250,Hyderabad,209621,36485.93,30.1
920252,WH_251,Kolkata,778479,43028.84,75.9
920253,WH_252,Kolkata,199661,13648.91,74.2
920254,WH_253,Bengaluru,864790,42337.76,52.2
920255,WH_254,Mumbai,402790,38584.81,63.1
920256,WH_255,Mumbai,322813,18923.27,38.0
920257,WH_256,Hyderabad,592702,48189.9,81.7
920258,WH_257,Kolkata,649524,19139.6,33.6
920259,WH_258,Mumbai,395832,33544.89,36.3
920260,WH_259,Hyderabad,38003,18362.4,94.6
920261,WH_260,Hyderabad,70099,10489.94,92.7
920262,WH_261,Kolkata,419251,37690.94,63.1
920263,WH_262,Pune,736090,3745.06,86.6
920264,WH_263,Kolkata,793987,30822.19,50.7
920265,WH_264,Bengaluru,394510,2963.0,39.0
920266,WH_265,Chennai,973274,34953.57,87.1
920267,WH_266,Bengaluru,560199,26128.24,75.9
920268,WH_267,Kolkata,304983,7174.62,63.7
920269,WH_268,Bengaluru,175480,19104.59,36.4
920270,WH_269,Mumbai,273417,8879.48,85.0
920271,WH_270,Bengaluru,730979,4453.38,51.0
920272,WH_271,Delhi,45395,45860.7,34.0
920273,WH_272,Hyderabad,453353,21924.94,77.6
920274,WH_273,Hyderabad,435356,22650.64,57.5
920275,WH_274,Delhi,584475,1274.88,75.9
920276,WH_275,Delhi,239609,4166.5,47.2
920277,WH_276,Mumbai,378996,29070.99,54.5
920278,WH_277,Delhi,277841,19709.92,44.0
920279,WH_278,Hyderabad,35559,15613.8,38.5
920280,WH_279,Delhi,625758,32646.18,87.9
920281,WH_280,Bengaluru,337881,16976.36,95.9
920282,WH_281,Pune,725430,10137.64,77.3
920283,WH_282,Kolkata,325954,17848.3,62.4
920284,WH_283,Chennai,388153,34792.38,37.5
920285,WH_284,Pune,474291,19952.9,67.6
920286,WH_285,Bengaluru,93298,38001.88,84.1
920287,WH_286,Hyderabad,485617,48607.04,59.1
920288,WH_287,Mumbai,859608,28101.83,95.6
920289,WH_288,Pune,117648,23466.83,57.4
920290,WH_289,Pune,392350,38725.63,67.3
920291,WH_290,Delhi,771871,16252.36,89.8
920292,WH_291,Delhi,364911,24104.08,44.9
920293,WH_292,Pune,184970,45443.37,84.8
920294,WH_293,Pune,99872,21378.35,41.4
920295,WH_294,Chennai,75163,9846.61,32.9
920296,WH_295,Pune,610518,25410.12,43.2
920297,WH_296,Delhi,793217,38118.94,43.0
920298,WH_297,Pune,415122,6227.97,80.1
920299,WH_298,Kolkata,768395,12370.03,46.3
920300,WH_299,Chennai,265544,34148.43,38.6
920301,WH_300,Pune,479893,35362.55,49.2
920302,WH_301,Bengaluru,866635,9581.92,75.0
920303,WH_302,Pune,509685,29063.51,36.8
920304,WH_303,Pune,506939,40241.18,53.4
920305,WH_304,Delhi,812825,48708.11,72.7
920306,WH_305,Hyderabad,872044,34014.46,36.9
920307,WH_306,Delhi,334902,33369.8,83.0
920308,WH_307,Bengaluru,934364,41417.87,94.6
920309,WH_308,Pune,182543,10150.68,63.4
920310,WH_309,Chennai,297822,12251.25,55.9
920311,WH_310,Pune,408962,48910.51,80.3
920312,WH_311,Bengaluru,765674,33167.15,33.3
920313,WH_312,Delhi,191984,6164.69,47.0
920314,WH_313,Kolkata,968002,8173.01,91.9
920315,WH_314,Kolkata,333335,6227.06,69.1
920316,WH_315,Chennai,39265,28705.68,53.8
920317,WH_316,Chennai,328160,37868.2,80.2
920318,WH_317,Chennai,431458,10179.61,38.0
920319,WH_318,Pune,591880,39059.48,45.6
920320,WH_319,Delhi,898822,36031.4,34.8
920321,WH_320,Chennai,373588,39021.35,66.0
920322,WH_321,Delhi,222160,14601.84,48.4
920323,WH_322,Delhi,889206,11434.82,90.7
920324,WH_323,Pune,435100,34873.38,92.8
920325,WH_324,Pune,619396,45836.86,33.2
920326,WH_325,Mumbai,863340,8422.52,54.6
920327,WH_326,Kolkata,727387,49432.4,44.3
920328,WH_327,Kolkata,232220,34435.53,94.2
920329,WH_328,Bengaluru,422802,19024.26,36.7
920330,WH_329,Chennai,563339,2232.11,30.8
920331,WH_330,Mumbai,492728,19782.05,97.3
920332,WH_331,Bengaluru,995629,16223.32,79.4
920333,WH_332,Delhi,969293,41932.11,70.6
920334,WH_333,Delhi,622960,16752.52,98.7
920335,WH_334,Kolkata,951190,48912.64,83.7
920336,WH_335,Bengaluru,266373,43992.56,81.2
920337,WH_336,Kolkata,451639,23718.36,45.3
920338,WH_337,Delhi,652264,16680.37,74.6
920339,WH_338,Pune,948927,48076.2,65.5
920340,WH_339,Kolkata,399106,25487.8,52.0
920341,WH_340,Bengaluru,885809,3258.2,51.7
920342,WH_341,Chennai,254132,12555.56,70.9
920343,WH_342,Chennai,34791,9684.7,93.5
920344,WH_343,Hyderabad,700237,41751.07,80.1
920345,WH_344,Hyderabad,979811,9308.9,94.8
920346,WH_345,Kolkata,479393,36519.91,81.5
920347,WH_346,Hyderabad,461036,13636.08,79.3
920348,WH_347,Kolkata,786964,14791.5,37.0
920349,WH_348,Pune,509374,7226.45,79.2
920350,WH_349,Chennai,579166,26527.01,41.0
920351,WH_350,Pune,274106,41039.04,71.6
920352,WH_351,Kolkata,551800,32099.49,93.2
920353,WH_352,Pune,73718,28109.0,57.1
920354,WH_353,Kolkata,164001,41708.21,33.3
920355,WH_354,Pune,251647,38043.5,74.5
920356,WH_355,Chennai,479476,29867.31,82.5
920357,WH_356,Pune,321018,22555.88,38.5
920358,WH_357,Chennai,93480,6352.56,64.7
920359,WH_358,Delhi,465337,883.25,42.9
920360,WH_359,Bengaluru,879895,30062.24,82.4
920361,WH_360,Mumbai,14140,45647.64,84.1
920362,WH_361,Pune,685768,15922.77,54.6
920363,WH_362,Hyderabad,350436,10942.69,71.3
920364,WH_363,Chennai,208559,22872.59,92.8
920365,WH_364,Kolkata,25806,37423.73,65.7
920366,WH_365,Bengaluru,637722,19650.61,97.1
920367,WH_366,Kolkata,988460,745.63,94.0
920368,WH_367,Pune,258789,23137.43,74.1
920369,WH_368,Mumbai,584619,14428.76,68.2
920370,WH_369,Chennai,637102,38681.44,85.8
920371,WH_370,Kolkata,671884,1385.34,31.1
920372,WH_371,Hyderabad,141099,43130.41,95.6
920373,WH_372,Hyderabad,932428,14447.13,87.8
920374,WH_373,Chennai,502622,21833.83,56.9
920375,WH_374,Chennai,702745,36489.12,58.0
920376,WH_375,Pune,677821,4429.67,62.4
920377,WH_376,Chennai,335276,823.61,39.0
920378,WH_377,Hyderabad,847604,10093.24,83.7
920379,WH_378,Kolkata,124022,21205.87,90.7
920380,WH_379,Pune,858060,36332.98,68.9
920381,WH_380,Hyderabad,452641,39214.05,38.8
920382,WH_381,Mumbai,880907,47665.05,30.7
920383,WH_382,Hyderabad,801237,41315.21,64.2
920384,WH_383,Mumbai,725564,33517.23,61.2
920385,WH_384,Mumbai,114466,35443.04,53.4
920386,WH_385,Hyderabad,14289,32287.8,34.9
920387,WH_386,Mumbai,81582,898.86,84.0
920388,WH_387,Kolkata,104430,33408.05,37.1
920389,WH_388,Mumbai,232190,48561.9,90.9
920390,WH_389,Mumbai,184005,5840.72,79.6
920391,WH_390,Kolkata,228779,29436.86,34.4
920392,WH_391,Pune,582748,5793.76,94.5
920393,WH_392,Mumbai,822788,5002.13,80.8
920394,WH_393,Pune,796383,37917.8,93.7
920395,WH_394,Hyderabad,421044,39910.4,97.5
920396,WH_395,Mumbai,776216,21813.15,56.9
920397,WH_396,Bengaluru,969222,26759.97,69.5
920398,WH_397,Kolkata,190956,28954.94,91.9
920399,WH_398,Pune,443826,20193.46,50.4
920400,WH_399,Mumbai,470104,13693.1,92.8
