Truck_ID,Truck_Type,Fuel_Type,Capacity_KG,Model_Year,Odometer_KM
910067,Light,Electric,25151,2018,361958
910068,Medium,Diesel,12400,2020,171264
910069,Medium,Electric,17967,2019,818477
910070,Medium,Diesel,2843,2022,458539
910071,Medium,Hybrid,23602,2020,446426
910072,Medium,Electric,1807,2024,409882
910073,Medium,Diesel,26680,2024,81201
910074,Heavy,Diesel,13532,2017,572927
910075,Medium,Electric,21092,2022,801990
910076,Light,CNG,4634,2018,340356
910077,Light,CNG,8083,2017,294103
910078,Light,Hybrid,18560,2018,693360
910079,Light,Hybrid,5161,2022,603626
910080,Heavy,Hybrid,3138,2019,128504
910081,Medium,Diesel,26509,2016,260388
910082,Light,Hybrid,5081,2019,15716
910083,Heavy,Electric,1046,2020,249170
910084,Light,Electric,19928,2018,784214
910085,Heavy,Hybrid,17789,2023,604119
910086,Medium,Electric,17683,2016,574506
910087,Light,Electric,27746,2023,835015
910088,Light,Hybrid,5029,2021,373303
910089,Heavy,Hybrid,24140,2021,838005
910090,Heavy,CNG,17816,2015,494817
910091,Heavy,Electric,18445,2017,676353
910092,Light,Diesel,2042,2018,898021
910093,Medium,CNG,6150,2025,410442
910094,Light,Electric,1044,2024,83279
910095,Heavy,Diesel,22249,2017,292831
910096,Heavy,Hybrid,9435,2023,641956
910097,Light,Diesel,11272,2020,424716
910098,Heavy,CNG,1404,2017,864479
910099,Heavy,Hybrid,24136,2025,297791
910100,Heavy,Electric,4792,2017,333019
910101,Medium,Electric,23031,2020,130109
910102,Light,Diesel,20311,2018,29845
910103,Light,Diesel,10895,2020,154049
910104,Heavy,Diesel,18426,2015,577115
910105,Heavy,Hybrid,1166,2016,728626
910106,Light,Hybrid,1013,2023,696149
910107,Medium,Electric,16227,2021,381662
910108,Heavy,CNG,7234,2020,510453
910109,Medium,Electric,28204,2019,680798
910110,Light,Electric,25119,2020,652920
910111,Light,Diesel,14072,2018,883787
910112,Medium,Electric,5320,2017,519532
910113,Heavy,Hybrid,13904,2021,657244
910114,Medium,Electric,17742,2022,527748
910115,Heavy,Electric,9362,2017,473257
910116,Heavy,Hybrid,19588,2017,616828
910117,Heavy,Diesel,1045,2025,167300
910118,Medium,CNG,21613,2017,499092
910119,Light,Electric,22917,2016,479572
910120,Medium,CNG,21847,2025,123200
910121,Light,Electric,8623,2018,317077
910122,Light,Hybrid,1777,2022,643108
910123,Light,Hybrid,1023,2025,87497
910124,Medium,Hybrid,21666,2022,519306
910125,Heavy,CNG,23941,2017,463423
910126,Medium,CNG,29835,2022,824889
910127,Heavy,Hybrid,3994,2016,216524
910128,Medium,Electric,17896,2022,824693
910129,Medium,Diesel,25900,2017,674969
910130,Heavy,Diesel,11133,2025,624330
910131,Light,Hybrid,23058,2015,881652
910132,Light,CNG,11162,2015,181078
910133,Medium,Diesel,23344,2023,188015
910134,Medium,Hybrid,19743,2017,841556
910135,Medium,Diesel,6535,2016,158549
910136,Heavy,Diesel,29632,2021,746698
910137,Light,CNG,12686,2025,308290
910138,Heavy,Diesel,4624,2022,540114
910139,Light,Electric,1735,2020,32334
910140,Heavy,Diesel,19712,2022,289121
910141,Light,Electric,23462,2022,181958
910142,Heavy,Electric,10739,2023,692475
910143,Medium,CNG,11965,2021,824709
910144,Light,Diesel,7610,2018,590642
910145,Light,Hybrid,20049,2018,859173
910146,Medium,Hybrid,4868,2019,488222
910147,Medium,CNG,17283,2015,581664
910148,Heavy,CNG,14216,2019,592265
910149,Light,Diesel,25057,2020,740452
910150,Medium,CNG,14937,2016,826893
910151,Light,Hybrid,13824,2022,440097
910152,Heavy,Electric,19268,2025,529915
910153,Light,Diesel,3452,2018,171726
910154,Light,CNG,28597,2023,77359
910155,Medium,Diesel,28503,2016,639559
910156,Heavy,CNG,18630,2022,711359
910157,Light,CNG,27069,2020,230369
910158,Medium,Electric,25930,2025,166136
910159,Medium,CNG,29727,2015,63206
910160,Medium,Hybrid,7473,2016,216012
910161,Heavy,CNG,29801,2019,68723
910162,Medium,CNG,10006,2019,841741
910163,Medium,Diesel,4530,2024,528936
910164,Light,Hybrid,29266,2025,259034
910165,Light,Electric,10162,2025,612242
910166,Heavy,Hybrid,18496,2019,801023
910167,Medium,CNG,2281,2025,82312
910168,Heavy,Hybrid,4105,2017,324092
910169,Heavy,Diesel,27892,2022,182320
910170,Medium,Hybrid,21172,2021,509203
910171,Heavy,Hybrid,6864,2024,611328
910172,Medium,Diesel,3678,2019,421828
910173,Heavy,Diesel,19048,2019,496470
910174,Medium,CNG,8283,2024,223363
910175,Heavy,CNG,4859,2020,566851
910176,Light,Electric,7676,2016,145205
910177,Heavy,CNG,26205,2021,583858
910178,Heavy,Electric,23144,2017,752867
910179,Heavy,CNG,25538,2015,295258
910180,Heavy,CNG,3022,2022,788330
910181,Light,Electric,19628,2021,401172
910182,Light,Hybrid,15407,2020,297377
910183,Light,Hybrid,29073,2020,12886
910184,Medium,Hybrid,3947,2025,755544
910185,Heavy,Electric,18766,2017,478739
910186,Heavy,Electric,16138,2017,394250
910187,Heavy,Hybrid,8166,2021,47854
910188,Heavy,Electric,15066,2021,383098
910189,Light,Hybrid,27839,2021,650564
910190,Heavy,Hybrid,14096,2023,45035
910191,Medium,Hybrid,27511,2015,550592
910192,Medium,Electric,16288,2019,531520
910193,Light,CNG,25544,2021,227006
910194,Light,Electric,22155,2025,275747
910195,Light,Diesel,12400,2023,382338
910196,Light,Electric,24493,2024,531886
910197,Medium,Hybrid,27713,2025,265969
910198,Medium,Electric,27130,2021,125564
910199,Heavy,CNG,20190,2017,268598
910200,Light,CNG,19873,2021,515094
910201,Medium,CNG,4665,2025,761409
910202,Heavy,CNG,14125,2024,617050
910203,Light,CNG,15679,2021,421531
910204,Light,Hybrid,27676,2025,51836
910205,Heavy,Electric,28464,2021,425429
910206,Light,Electric,9774,2019,229758
910207,Medium,Electric,16041,2024,19987
910208,Medium,Diesel,15647,2018,618845
910209,Medium,Diesel,6756,2021,586332
910210,Medium,CNG,16293,2024,391526
910211,Medium,CNG,26804,2020,674152
910212,Heavy,CNG,5012,2016,188367
910213,Light,CNG,24736,2018,519116
910214,Light,Electric,16465,2023,525089
910215,Light,Diesel,13483,2022,482852
910216,Medium,Hybrid,13686,2015,109088
910217,Light,Diesel,10056,2016,262454
910218,Medium,Electric,26505,2020,249956
910219,Light,Diesel,1271,2022,771779
910220,Medium,CNG,20667,2025,856904
910221,Heavy,Electric,12399,2024,626261
910222,Medium,CNG,16383,2023,620193
910223,Medium,Electric,9257,2024,804251
910224,Light,Diesel,8404,2021,290420
910225,Heavy,Hybrid,27644,2023,846361
910226,Medium,Electric,28700,2017,877124
910227,Light,Electric,17321,2024,82234
910228,Heavy,CNG,7828,2018,243743
910229,Light,Hybrid,20771,2015,830308
910230,Light,CNG,19739,2023,550249
910231,Heavy,CNG,18236,2018,646726
910232,Light,Diesel,16638,2020,700089
910233,Light,Hybrid,23567,2016,54081
910234,Heavy,Diesel,13537,2024,526221
910235,Medium,Diesel,25766,2018,196533
910236,Medium,Hybrid,13147,2017,827346
910237,Light,Hybrid,5715,2022,839364
910238,Medium,Electric,18166,2017,109521
910239,Light,CNG,10019,2015,754723
910240,Medium,Diesel,23938,2025,163445
910241,Light,Electric,7645,2015,644826
910242,Light,Diesel,17602,2022,682824
910243,Light,Diesel,24647,2023,309414
910244,Light,Hybrid,3227,2025,495417
910245,Heavy,Electric,13763,2016,318759
910246,Medium,Electric,11230,2025,510700
910247,Heavy,Diesel,22181,2025,83886
910248,Light,CNG,4898,2021,265544
910249,Medium,CNG,25071,2020,373558
910250,Heavy,Diesel,1075,2022,182523
910251,Light,Hybrid,11590,2016,727505
910252,Medium,Diesel,17984,2021,214502
910253,Medium,CNG,18841,2022,38333
910254,Heavy,Electric,26208,2018,432376
910255,Heavy,Electric,26391,2022,862253
910256,Heavy,Diesel,2630,2024,196297
910257,Heavy,Hybrid,13448,2019,717038
910258,Medium,Hybrid,21473,2022,770675
910259,Heavy,CNG,16482,2020,740395
910260,Light,Diesel,17008,2020,431154
910261,Light,Diesel,18393,2018,135720
910262,Light,Diesel,17301,2016,646458
910263,Light,Hybrid,13084,2016,581369
910264,Light,CNG,23457,2018,49517
910265,Heavy,Electric,7235,2024,105615
910266,Medium,Electric,14722,2018,313608
910267,Light,Hybrid,6934,2020,334743
910268,Heavy,Electric,17868,2021,557542
910269,Medium,CNG,18053,2019,679321
910270,Medium,Diesel,17408,2024,304613
910271,Light,Diesel,4905,2020,383162
910272,Light,CNG,27235,2024,147088
910273,Heavy,Electric,28248,2023,381084
910274,Heavy,Diesel,29432,2016,692788
910275,Medium,Electric,24593,2024,540466
910276,Medium,Diesel,25097,2022,348579
910277,Heavy,CNG,9355,2020,226919
910278,Medium,Electric,19118,2018,612757
910279,Heavy,Diesel,29800,2019,368625
910280,Medium,CNG,15511,2016,602500
910281,Medium,Electric,4172,2017,222305
910282,Light,Hybrid,18160,2025,528599
910283,Light,Diesel,18932,2021,630519
910284,Heavy,Electric,13718,2018,663557
910285,Medium,CNG,6184,2023,642344
910286,Light,CNG,21290,2023,169767
910287,Heavy,Electric,28369,2020,358609
910288,Heavy,CNG,27360,2021,728234
910289,Light,Hybrid,6450,2025,225661
910290,Light,Hybrid,11060,2023,492942
910291,Heavy,Electric,3028,2019,235393
910292,Heavy,Diesel,18180,2015,34825
910293,Light,Electric,28405,2022,233517
910294,Medium,Electric,24395,2016,396687
910295,Medium,Diesel,29343,2022,658823
910296,Medium,Hybrid,27239,2018,792993
910297,Medium,Electric,8913,2020,896133
910298,Light,Hybrid,9745,2025,91422
910299,Light,Electric,9005,2023,306579
910300,Light,Hybrid,23372,2024,830137
910301,Medium,CNG,15933,2024,538875
910302,Medium,Electric,13740,2025,738301
910303,Light,Electric,1493,2017,19812
910304,Medium,Diesel,21264,2021,688743
910305,Heavy,Diesel,28425,2024,318409
910306,Heavy,Electric,16353,2023,792820
910307,Heavy,Electric,23652,2021,147144
910308,Light,Diesel,12303,2019,570153
910309,Medium,Hybrid,8419,2023,252310
910310,Heavy,Diesel,18995,2022,229516
910311,Medium,Hybrid,22318,2024,704813
910312,Heavy,Diesel,24444,2020,426959
910313,Medium,Diesel,12350,2025,725237
910314,Medium,Hybrid,26370,2020,291164
910315,Light,Hybrid,14537,2023,313813
910316,Heavy,Electric,11165,2020,82161
910317,Heavy,Diesel,24297,2023,700087
910318,Medium,CNG,7245,2021,685161
910319,Light,Electric,29498,2022,148622
910320,Medium,CNG,14144,2023,718943
910321,Heavy,Diesel,14604,2018,684547
910322,Heavy,CNG,20081,2019,150231
910323,Light,Diesel,6388,2016,236225
910324,Heavy,Electric,21484,2017,356228
910325,Heavy,Hybrid,10544,2025,524448
910326,Heavy,CNG,21760,2024,639663
910327,Medium,Electric,14065,2020,321672
910328,Heavy,Hybrid,28064,2016,407215
910329,Light,Electric,12771,2020,141030
910330,Heavy,Electric,4759,2020,279176
910331,Medium,Electric,24851,2018,463234
910332,Light,CNG,23183,2021,578237
910333,Heavy,Diesel,25053,2023,228184
910334,Medium,Hybrid,7759,2017,607615
910335,Medium,Hybrid,8197,2023,375159
910336,Medium,Hybrid,29117,2024,290079
910337,Medium,Hybrid,27517,2022,610281
910338,Heavy,Hybrid,6550,2025,806109
910339,Heavy,Hybrid,25837,2022,727062
910340,Medium,Diesel,1971,2016,255626
910341,Medium,Hybrid,11403,2018,873726
910342,Light,CNG,24193,2015,636144
910343,Heavy,Electric,11920,2025,674887
910344,Heavy,Diesel,17547,2024,691784
910345,Heavy,Hybrid,20677,2023,54226
910346,Medium,Electric,25654,2025,790388
910347,Light,Electric,1548,2024,839036
910348,Medium,Hybrid,23918,2015,490470
910349,Medium,Diesel,9732,2021,104923
910350,Medium,Electric,11253,2023,778197
910351,Heavy,CNG,15373,2020,460769
910352,Heavy,Hybrid,21722,2019,202226
910353,Medium,Electric,18826,2023,880503
910354,Heavy,CNG,20389,2021,561861
910355,Medium,Hybrid,22695,2017,372233
910356,Light,Hybrid,9761,2025,501730
910357,Heavy,Hybrid,20485,2023,437621
910358,Heavy,Hybrid,2959,2023,330527
910359,Heavy,Hybrid,25442,2023,408087
910360,Medium,CNG,20860,2015,122667
910361,Heavy,Electric,17264,2016,54125
910362,Light,Diesel,11400,2015,879437
910363,Heavy,CNG,28328,2019,246068
910364,Medium,Hybrid,13319,2015,548103
910365,Heavy,Electric,16705,2022,224256
910366,Medium,Diesel,13587,2023,284227
910367,Medium,CNG,6425,2018,818200
910368,Heavy,Electric,18755,2015,346259
910369,Light,CNG,12066,2017,428665
910370,Medium,Hybrid,25279,2015,872203
910371,Medium,Electric,27239,2017,308158
910372,Medium,Hybrid,8927,2017,698159
910373,Heavy,CNG,10305,2018,820641
910374,Heavy,Hybrid,11138,2017,827440
910375,Light,Hybrid,24620,2023,204608
910376,Medium,CNG,8308,2020,750753
910377,Light,Electric,12791,2021,629069
910378,Medium,CNG,18944,2015,514776
910379,Light,Hybrid,10789,2015,175571
910380,Medium,Electric,13330,2021,292521
910381,Medium,Electric,20613,2020,261827
910382,Light,Diesel,28829,2025,601634
910383,Medium,Electric,7781,2016,251909
910384,Light,CNG,5852,2025,634482
910385,Light,Hybrid,14106,2021,221521
910386,Medium,CNG,12547,2018,323337
910387,Light,Hybrid,10349,2017,114799
910388,Medium,CNG,29785,2016,458961
910389,Medium,Diesel,13990,2020,146969
910390,Light,Electric,22825,2017,721094
910391,Heavy,CNG,16498,2020,440667
910392,Medium,CNG,2959,2018,645353
910393,Light,Hybrid,4572,2017,700686
910394,Light,CNG,8100,2023,596840
910395,Light,Hybrid,9355,2022,761809
910396,Light,Diesel,5622,2017,257850
910397,Medium,Diesel,8328,2015,345573
910398,Light,CNG,25430,2017,24304
910399,Medium,Electric,20602,2020,301195
910400,Heavy,Diesel,20292,2018,605614
910401,Medium,CNG,26508,2022,582435
910402,Heavy,Diesel,13756,2021,876605
910403,Heavy,Electric,6212,2025,807583
910404,Heavy,Electric,20314,2022,820070
910405,Medium,Diesel,19443,2017,120285
910406,Light,Electric,18453,2021,569661
910407,Light,Diesel,3759,2015,182565
910408,Heavy,CNG,17607,2015,57424
910409,Light,Diesel,26979,2018,597264
910410,Heavy,Diesel,26473,2023,785656
910411,Light,Hybrid,27796,2018,104597
910412,Medium,CNG,22453,2018,894032
910413,Light,Hybrid,5221,2021,156339
910414,Medium,Electric,27904,2021,354313
910415,Heavy,CNG,26714,2022,833844
910416,Medium,CNG,1803,2023,29311
910417,Medium,Electric,29245,2018,290002
910418,Heavy,Hybrid,6932,2016,32951
910419,Medium,CNG,16806,2021,506566
910420,Heavy,Hybrid,10629,2021,200818
910421,Light,Diesel,6746,2015,865357
910422,Medium,Electric,24025,2018,318452
910423,Light,Hybrid,16120,2017,109356
910424,Medium,Electric,19236,2024,570510
910425,Light,Hybrid,15388,2021,406437
910426,Heavy,Diesel,12646,2021,385993
910427,Heavy,CNG,12712,2020,523133
910428,Medium,CNG,14152,2016,426537
910429,Light,Electric,10527,2015,272039
910430,Medium,Hybrid,16833,2023,740209
910431,Medium,Hybrid,27070,2015,789700
910432,Heavy,Hybrid,16218,2017,556994
910433,Medium,Electric,7229,2021,347792
910434,Medium,Diesel,5546,2022,692099
910435,Light,Hybrid,17099,2020,698054
910436,Medium,Diesel,8920,2024,768406
910437,Medium,CNG,4097,2016,582889
910438,Heavy,Electric,11856,2024,384602
910439,Light,CNG,29577,2015,765789
910440,Light,Electric,22096,2020,296170
910441,Light,Hybrid,23216,2023,248435
910442,Medium,Diesel,21153,2015,64914
910443,Medium,Diesel,14242,2025,685961
910444,Light,Electric,4139,2017,792346
910445,Medium,Hybrid,19035,2018,716012
910446,Medium,Hybrid,21527,2019,418476
910447,Heavy,CNG,28856,2022,863125
910448,Medium,Hybrid,17374,2018,125441
910449,Medium,CNG,27927,2017,409084
910450,Medium,Electric,24557,2019,728217
910451,Light,Hybrid,9511,2016,496567
910452,Light,Diesel,18250,2017,154502
910453,Medium,CNG,18031,2023,142517
910454,Medium,Electric,3758,2020,437071
910455,Heavy,Electric,16494,2020,864102
910456,Light,Electric,9462,2018,708347
910457,Medium,Hybrid,21631,2018,168843
910458,Light,Diesel,24757,2015,757221
910459,Heavy,Hybrid,12827,2016,186302
910460,Heavy,Hybrid,23381,2017,637137
910461,Medium,CNG,23316,2022,736207
910462,Heavy,Diesel,28978,2023,492647
910463,Medium,Electric,12895,2025,84725
910464,Heavy,Diesel,14424,2021,690107
910465,Medium,Diesel,27805,2023,127120
910466,Heavy,Electric,28846,2025,162741
910467,Heavy,Hybrid,23946,2023,200639
910468,Heavy,Electric,2115,2021,393562
910469,Heavy,Hybrid,13056,2017,855724
910470,Light,CNG,28471,2019,406797
910471,Heavy,Electric,9997,2023,626739
910472,Heavy,Electric,22464,2017,553525
910473,Light,Diesel,2251,2017,690320
910474,Medium,CNG,18298,2022,358898
910475,Light,Diesel,18057,2023,167061
910476,Light,CNG,21063,2018,539412
910477,Light,Electric,14450,2023,58213
910478,Heavy,Electric,15613,2018,340576
910479,Medium,Diesel,26297,2023,182509
910480,Heavy,Electric,25553,2018,372978
910481,Heavy,Hybrid,1508,2025,785198
910482,Light,Diesel,6722,2018,363772
910483,Medium,Electric,2969,2018,818172
910484,Medium,CNG,24156,2020,374157
910485,Medium,CNG,25038,2025,765923
910486,Heavy,Electric,9302,2019,41935
910487,Light,Hybrid,11682,2019,501641
910488,Medium,Electric,16721,2015,60873
910489,Heavy,Electric,13155,2021,363139
910490,Heavy,Diesel,14558,2020,372158
910491,Heavy,Electric,2406,2021,383432
910492,Medium,Electric,19570,2022,845065
910493,Medium,Electric,9039,2016,658830
910494,Light,Diesel,21846,2015,46568
910495,Medium,Electric,27950,2023,297547
910496,Light,Electric,1317,2022,205358
910497,Medium,CNG,22874,2016,180261
910498,Light,Hybrid,12691,2015,637725
910499,Heavy,CNG,26089,2024,716738
910500,Light,Diesel,24618,2015,260637
910501,Light,CNG,2944,2020,365070
910502,Medium,Electric,25517,2024,306943
910503,Medium,CNG,8384,2022,307607
910504,Heavy,Hybrid,22488,2023,593935
910505,Heavy,Hybrid,21625,2024,153277
910506,Medium,Hybrid,25464,2024,853446
910507,Heavy,CNG,23843,2024,680889
910508,Light,CNG,18814,2024,427284
910509,Light,Electric,21247,2024,630809
910510,Heavy,Hybrid,8478,2016,634105
910511,Light,Diesel,20836,2017,529105
910512,Medium,CNG,21635,2016,99145
910513,Medium,Diesel,29261,2017,867257
910514,Heavy,CNG,27591,2015,27720
910515,Heavy,CNG,7527,2024,687983
910516,Medium,Hybrid,18441,2019,111531
910517,Medium,Electric,9064,2022,862286
910518,Heavy,Electric,6863,2020,358050
910519,Medium,Electric,16803,2024,51250
910520,Heavy,Electric,17355,2024,64999
910521,Light,Electric,26867,2017,48481
910522,Heavy,Diesel,2186,2016,359604
910523,Medium,Diesel,3459,2019,762930
910524,Medium,CNG,10295,2025,130418
910525,Light,Electric,20343,2016,324832
910526,Light,Diesel,11017,2017,543991
910527,Medium,Electric,26941,2019,69413
910528,Medium,Hybrid,24898,2018,588290
910529,Medium,Hybrid,23844,2020,246414
910530,Heavy,CNG,14900,2022,90561
910531,Heavy,Hybrid,22131,2024,262842
910532,Medium,Hybrid,11751,2015,262988
910533,Medium,CNG,19363,2018,886874
910534,Medium,Diesel,23793,2018,886897
910535,Heavy,Electric,18425,2017,842789
910536,Heavy,Diesel,1825,2020,210298
910537,Light,Hybrid,26729,2016,227560
910538,Heavy,Electric,3433,2023,367677
910539,Light,Electric,11108,2023,209501
910540,Heavy,Electric,27434,2021,276929
910541,Light,CNG,15482,2018,404597
910542,Light,Electric,29391,2021,381971
910543,Light,Electric,22063,2020,819873
910544,Medium,Electric,23784,2019,827259
910545,Medium,CNG,17601,2022,393730
910546,Medium,Electric,6291,2017,269964
910547,Heavy,Diesel,13925,2025,148285
910548,Light,Diesel,11958,2023,636607
910549,Light,Hybrid,20372,2015,376326
910550,Light,Electric,24516,2016,888196
910551,Medium,Electric,14460,2018,464605
910552,Heavy,CNG,18920,2021,610157
910553,Medium,Hybrid,8829,2020,281078
910554,Medium,CNG,10161,2025,294914
910555,Medium,Hybrid,22711,2015,826019
910556,Medium,Hybrid,6498,2015,350001
910557,Medium,CNG,28388,2019,190123
910558,Light,Diesel,17396,2022,844319
910559,Medium,Electric,9116,2017,110305
910560,Light,CNG,29986,2021,705754
910561,Heavy,CNG,1995,2023,698516
910562,Light,Electric,14301,2015,218461
910563,Medium,CNG,7508,2023,94010
910564,Light,Electric,15970,2021,576440
910565,Light,Diesel,17644,2016,234756
910566,Medium,Diesel,8393,2017,572352
910567,Light,Electric,12244,2018,20060
910568,Light,Electric,9514,2023,671154
910569,Heavy,CNG,9609,2016,13600
910570,Light,Diesel,10949,2023,344687
910571,Heavy,Hybrid,17641,2018,406877
910572,Light,CNG,26313,2017,413914
910573,Light,Electric,24183,2018,717581
910574,Heavy,Diesel,26984,2025,289298
910575,Medium,Diesel,28664,2025,270329
910576,Light,CNG,2263,2017,788945
910577,Light,Electric,10162,2016,482603
910578,Medium,CNG,12378,2021,352500
910579,Medium,Electric,11743,2021,106058
910580,Heavy,Electric,11051,2019,651558
910581,Heavy,Diesel,11700,2015,811975
910582,Heavy,Diesel,15990,2015,115585
910583,Heavy,CNG,3560,2022,836112
910584,Light,Electric,14981,2015,621608
910585,Heavy,Diesel,3279,2020,29357
910586,Medium,CNG,6331,2015,641821
910587,Heavy,Electric,25634,2025,700185
910588,Medium,Hybrid,19096,2020,821849
910589,Heavy,Diesel,26217,2024,540652
910590,Medium,Electric,28680,2016,489952
910591,Medium,Hybrid,7156,2020,805889
910592,Heavy,Hybrid,18123,2016,382750
910593,Heavy,Diesel,20599,2024,128792
910594,Heavy,Diesel,26139,2020,26080
910595,Heavy,Diesel,25020,2018,440939
910596,Heavy,Diesel,28802,2018,221316
910597,Heavy,Hybrid,26369,2024,22983
910598,Heavy,Electric,17917,2021,359425
910599,Medium,Hybrid,6928,2016,773973
910600,Medium,Diesel,28519,2017,884659
910601,Heavy,Diesel,21163,2019,524860
910602,Medium,CNG,29433,2018,537720
910603,Medium,Hybrid,15442,2020,186266
910604,Heavy,CNG,9548,2021,327037
910605,Medium,Hybrid,28862,2024,827652
910606,Heavy,CNG,19542,2021,861385
910607,Light,Hybrid,13283,2021,623569
910608,Medium,Diesel,17656,2020,400974
910609,Medium,Electric,29828,2017,358458
910610,Light,CNG,3854,2020,192117
910611,Medium,CNG,13386,2024,735360
910612,Heavy,Diesel,18662,2020,611647
910613,Heavy,CNG,21064,2022,155894
910614,Light,Hybrid,20377,2022,98562
910615,Medium,CNG,18190,2022,519532
910616,Medium,Hybrid,7690,2015,128647
910617,Light,Electric,11001,2016,881932
910618,Light,CNG,4672,2020,768971
910619,Medium,Electric,14719,2019,420131
910620,Light,Hybrid,7991,2021,429008
910621,Light,Diesel,3276,2021,343083
910622,Heavy,CNG,26763,2019,726569
910623,Heavy,Electric,15928,2018,50832
910624,Heavy,Diesel,26423,2020,77990
910625,Heavy,CNG,27078,2020,621907
910626,Light,CNG,15373,2018,489490
910627,Heavy,Electric,22333,2020,818762
910628,Light,Hybrid,18583,2020,579442
910629,Light,Hybrid,25013,2016,449310
910630,Light,CNG,13506,2015,683524
910631,Light,Electric,21620,2019,489220
910632,Light,Diesel,28480,2018,503680
910633,Light,Hybrid,25076,2021,802101
910634,Light,CNG,15235,2018,574697
910635,Light,Diesel,16959,2019,204079
910636,Medium,Diesel,21498,2024,515810
910637,Light,Hybrid,19812,2022,491421
910638,Heavy,Hybrid,20836,2024,384919
910639,Medium,CNG,4940,2018,599073
910640,Heavy,Diesel,1641,2017,674469
910641,Light,Hybrid,6254,2015,847395
910642,Medium,CNG,2754,2021,831560
910643,Light,Electric,11839,2018,614230
910644,Heavy,Electric,9082,2022,832321
910645,Light,Electric,8481,2019,835832
910646,Light,Hybrid,6933,2015,509343
910647,Medium,Electric,22810,2019,566127
910648,Medium,Electric,15043,2024,358976
910649,Medium,Diesel,14645,2023,265129
910650,Heavy,CNG,8130,2020,95445
910651,Light,Diesel,8733,2024,309723
910652,Light,Electric,19767,2018,296418
910653,Medium,Hybrid,1972,2016,530044
910654,Medium,CNG,16030,2021,197520
910655,Heavy,CNG,3388,2022,627855
910656,Light,Diesel,8709,2018,282476
910657,Light,Hybrid,24952,2021,860904
910658,Medium,Diesel,16417,2025,736368
910659,Heavy,Diesel,21617,2021,547635
910660,Heavy,CNG,22316,2022,683322
910661,Heavy,Electric,14356,2025,848493
910662,Medium,CNG,29991,2023,307067
910663,Medium,Hybrid,18808,2016,243995
910664,Heavy,CNG,17489,2018,92989
910665,Light,CNG,7706,2025,295820
910666,Heavy,Diesel,9518,2023,330954
910667,Light,Hybrid,26129,2025,736520
910668,Heavy,Electric,23237,2020,828479
910669,Medium,CNG,5275,2016,815156
910670,Heavy,Hybrid,13329,2016,558003
910671,Heavy,CNG,4532,2015,333128
