Load_ID,Customer_ID,Origin_Warehouse_ID,Destination_City,Driver_ID,Truck_ID,Load_Date,Weight_KG,Freight_Revenue,Status,Load_Year,Load_Month,Load_Month_Name
10000024,540967.0,920268.0,Mumbai,902544,911061,2025-01-27 05:29:27,10470.4,29667.88,Delivered,2025,1,January
10000025,516857.0,920087.0,Kolkata,910641,912803,2023-01-27 19:17:28,1669.7,7004.59,Cancelled,2023,1,January
10000026,519930.0,920116.0,Mumbai,907861,912042,2025-10-31 15:08:23,1065.9,214075.32,Delivered,2025,10,October
10000027,523569.0,920230.0,Delhi,908170,912424,2024-08-18 11:41:17,2393.7,31961.45,Delivered,2024,8,August
10000028,514472.0,920387.0,Hyderabad,906666,910714,2024-08-14 11:48:32,4492.7,76751.07,Delivered,2024,8,August
10000029,524274.0,920214.0,Mumbai,903553,913409,2023-09-27 09:38:18,2433.7,95474.94,Delivered,2023,9,September
10000030,512561.0,920142.0,Pune,900551,911721,2025-02-24 18:29:18,5249.7,240747.3,Delivered,2025,2,February
10000031,525650.0,920172.0,Mumbai,911368,911607,2024-10-08 18:09:51,17605.7,20819.09,In Transit,2024,10,October
10000032,505757.0,920397.0,Mumbai,907979,910231,2024-06-20 04:53:01,14857.2,245314.45,Delivered,2024,6,June
10000033,523727.0,920396.0,Hyderabad,902562,912998,2024-10-17 02:49:18,24495.3,203086.75,Delivered,2024,10,October
10000034,529399.0,920044.0,Kolkata,909906,912878,2023-05-20 14:16:36,18263.3,13764.19,Delivered,2023,5,May
10000035,518998.0,920213.0,Chennai,909919,910297,2024-12-19 04:09:52,23074.4,6405.94,Delivered,2024,12,December
10000036,514192.0,920138.0,Chennai,904958,910782,2025-04-28 09:29:20,2850.9,159687.52,Delivered,2025,4,April
10000037,514201.0,920041.0,Mumbai,910442,910971,2024-07-28 12:22:29,5014.8,225502.78,Delivered,2024,7,July
10000038,507219.0,920127.0,Delhi,900017,911902,2024-06-27 10:26:49,18756.4,215111.09,Delivered,2024,6,June
10000039,527485.0,920066.0,Kolkata,903664,910272,2025-05-26 12:26:49,25290.9,224257.97,Delivered,2025,5,May
10000040,520701.0,920393.0,Hyderabad,910866,912385,2024-06-09 13:52:16,21102.8,16377.31,Delivered,2024,6,June
10000041,537484.0,920320.0,Mumbai,910760,911634,2024-09-04 17:41:03,5135.1,93915.49,Delivered,2024,9,September
10000042,527236.0,920198.0,Mumbai,904907,913957,2025-04-16 21:29:34,22274.9,207415.42,Failed,2025,4,April
10000043,507207.0,920197.0,Kolkata,902741,913385,2024-05-22 13:20:20,16812.1,102420.54,Delivered,2024,5,May
10000044,519282.0,920259.0,Kolkata,910351,913303,2023-10-28 15:01:29,19080.6,173100.02,Delivered,2023,10,October
10000045,506719.0,920052.0,Bengaluru,908754,911640,2023-06-03 01:17:07,1651.3,110436.34,In Transit,2023,6,June
10000046,520653.0,920273.0,Kolkata,911237,911284,2023-03-09 19:09:55,9060.5,192026.1,Delivered,2023,3,March
10000047,521567.0,920175.0,Kolkata,909970,910552,2024-02-13 00:00:26,18628.4,34347.71,In Transit,2024,2,February
10000048,537015.0,920350.0,Mumbai,904759,913607,2023-10-25 04:04:23,6260.8,20630.78,Cancelled,2023,10,October
10000049,509129.0,920322.0,Bengaluru,908167,911090,2024-09-25 01:18:57,20144.9,148743.01,Delivered,2024,9,September
10000050,516621.0,920238.0,Kolkata,903222,910559,2023-11-23 21:11:13,14149.5,32693.3,Delivered,2023,11,November
10000051,519145.0,920108.0,Hyderabad,903599,910021,2023-08-19 19:29:39,6709.8,238045.6,Delivered,2023,8,August
10000052,541392.0,920303.0,Delhi,903994,912932,2025-01-28 18:36:58,23879.9,76083.22,Delivered,2025,1,January
10000053,528297.0,920042.0,Mumbai,905811,911288,2023-12-01 18:29:40,3746.4,136824.54,Cancelled,2023,12,December
10000054,520357.0,920103.0,Chennai,900145,910741,2024-08-28 13:46:47,190.8,142061.47,Delivered,2024,8,August
10000055,525758.0,920284.0,Jaipur,904384,911309,2023-07-23 14:49:14,16644.3,214489.5,Delivered,2023,7,July
10000056,528297.0,920281.0,Hyderabad,911313,911078,2023-02-17 01:35:54,6950.9,99623.22,Delivered,2023,2,February
10000057,527469.0,920037.0,Pune,911226,911567,2025-05-15 07:42:20,16073.5,80283.36,Delivered,2025,5,May
10000058,513968.0,920318.0,Bengaluru,908132,911760,2024-07-31 12:24:13,12957.8,43143.66,Failed,2024,7,July
10000059,543917.0,920309.0,Jaipur,905271,913116,2025-09-10 10:05:08,24980.3,77674.45,Delivered,2025,9,September
10000060,512009.0,920212.0,Jaipur,905163,912570,2023-11-04 21:16:49,5496.5,65055.68,Delivered,2023,11,November
10000061,531693.0,920226.0,Kolkata,909995,913937,2024-10-25 00:57:08,11939.4,103679.58,Delivered,2024,10,October
10000062,547146.0,920281.0,Delhi,903661,911315,2023-06-12 09:27:16,8646.6,203186.48,Delivered,2023,6,June
10000063,530966.0,920369.0,Jaipur,909847,912907,2023-12-20 14:39:50,15374.4,212936.16,Delivered,2023,12,December
10000064,512736.0,920342.0,Hyderabad,909526,912523,2023-12-22 10:10:19,27266.2,77286.99,Delivered,2023,12,December
10000065,523808.0,920305.0,Jaipur,910868,911398,2023-01-27 00:05:30,1876.6,59486.35,Delivered,2023,1,January
10000066,505553.0,920166.0,Mumbai,902189,911779,2024-11-05 21:56:45,3516.8,18562.58,Cancelled,2024,11,November
10000067,540925.0,920076.0,Mumbai,904413,910791,2023-08-30 01:18:00,21118.1,100493.38,Delivered,2023,8,August
10000068,534056.0,920306.0,Hyderabad,908385,910352,2025-02-11 09:37:21,20271.9,121047.1,In Transit,2025,2,February
10000069,506395.0,920166.0,Chennai,902419,910333,2025-06-01 18:31:39,16958.8,243058.61,In Transit,2025,6,June
10000070,512535.0,920323.0,Hyderabad,906424,911038,2024-12-29 15:55:03,13742.6,241918.63,Delivered,2024,12,December
10000071,547332.0,920340.0,Hyderabad,900460,910842,2024-02-04 12:25:19,10030.9,98237.48,Delivered,2024,2,February
10000072,546216.0,920180.0,Jaipur,908131,912441,2025-05-27 22:20:24,6427.6,201000.5,Delivered,2025,5,May
10000073,500266.0,920288.0,Chennai,906728,911546,2023-12-05 01:02:05,13030.3,109856.78,Delivered,2023,12,December
10000074,517638.0,920353.0,Delhi,911957,912325,2023-01-12 16:35:40,19189.4,74657.2,Delivered,2023,1,January
10000075,516325.0,920333.0,Mumbai,906949,912706,2025-10-07 13:59:34,17737.3,193682.22,Delivered,2025,10,October
10000076,543000.0,920294.0,Bengaluru,903734,911270,2024-07-23 00:39:10,20057.4,68663.99,Delivered,2024,7,July
10000077,520124.0,920370.0,Delhi,911028,912632,2023-11-11 22:55:23,1264.6,20229.7,Delivered,2023,11,November
10000078,542259.0,920348.0,Chennai,907650,912596,2023-03-19 16:43:03,3532.8,114302.31,In Transit,2023,3,March
10000079,536915.0,920369.0,Mumbai,909142,910289,2025-11-05 14:37:41,25372.0,17852.87,Delivered,2025,11,November
10000080,501924.0,920272.0,Delhi,910539,911129,2024-02-11 10:04:20,19418.1,138882.56,Delivered,2024,2,February
10000081,510318.0,920356.0,Pune,909653,911306,2025-12-04 02:02:32,19106.2,54290.32,Delivered,2025,12,December
10000082,514342.0,920226.0,Hyderabad,907108,911530,2023-09-02 23:15:50,16768.0,188060.7,In Transit,2023,9,September
10000083,510383.0,920347.0,Jaipur,903102,910493,2025-06-02 23:06:29,16142.1,69037.39,Delivered,2025,6,June
10000084,535692.0,920365.0,Mumbai,904778,913464,2024-08-24 17:27:42,22449.0,102892.41,In Transit,2024,8,August
10000085,528249.0,920248.0,Chennai,910548,913880,2023-09-10 23:11:42,18282.4,129563.54,Delivered,2023,9,September
10000086,523254.0,920260.0,Hyderabad,908256,912814,2023-10-04 09:52:31,15504.8,146043.05,Delivered,2023,10,October
10000087,522847.0,920259.0,Jaipur,907996,911113,2024-02-24 08:25:38,10518.8,86646.09,Delivered,2024,2,February
10000088,542470.0,920093.0,Jaipur,903378,913411,2024-06-01 05:20:23,24754.7,129893.3,Delivered,2024,6,June
10000089,511625.0,920217.0,Kolkata,909983,911102,2025-07-20 12:01:30,25613.7,17546.33,Delivered,2025,7,July
10000090,547111.0,920325.0,Hyderabad,911999,912974,2025-05-08 15:36:06,18354.4,50334.36,Delivered,2025,5,May
10000091,542769.0,920207.0,Delhi,908711,913100,2024-10-26 19:44:21,20397.5,93250.87,Delivered,2024,10,October
10000092,500068.0,920277.0,Hyderabad,900943,913939,2024-01-12 11:00:33,15968.7,35899.61,Delivered,2024,1,January
10000093,537701.0,920151.0,Chennai,906812,911992,2024-07-03 16:56:47,17095.0,98157.62,Delivered,2024,7,July
10000094,524582.0,920006.0,Mumbai,903322,913715,2023-11-18 09:51:21,6252.0,191337.73,Delivered,2023,11,November
10000095,521534.0,920239.0,Delhi,902982,912064,2024-03-26 11:07:07,27506.8,166370.52,Delivered,2024,3,March
10000096,537811.0,920006.0,Pune,908607,912143,2023-05-17 23:33:47,22406.3,74746.02,Delivered,2023,5,May
10000097,532968.0,920265.0,Bengaluru,905545,913823,2023-02-10 05:32:00,24399.1,115944.95,Delivered,2023,2,February
10000098,537170.0,920263.0,Jaipur,910481,913547,2025-09-14 07:56:28,24848.1,92966.28,Delivered,2025,9,September
10000099,537537.0,920274.0,Mumbai,903174,911785,2023-07-19 07:41:53,324.0,7460.72,Delivered,2023,7,July
10000100,537955.0,920315.0,Mumbai,909716,910121,2023-10-04 07:16:36,4842.5,94438.08,Delivered,2023,10,October
10000101,538492.0,920017.0,Delhi,909460,912984,2023-06-12 13:22:56,15855.0,191784.27,Delivered,2023,6,June
10000102,537557.0,920089.0,Chennai,911039,913026,2025-04-07 15:00:45,27937.0,16238.14,Delivered,2025,4,April
10000103,536404.0,920184.0,Jaipur,905032,910793,2023-10-03 06:36:27,9884.9,186268.8,Delivered,2023,10,October
10000104,518359.0,920043.0,Chennai,900831,911658,2024-01-20 11:13:17,1247.3,57876.33,Delivered,2024,1,January
10000105,530584.0,920091.0,Delhi,903735,913845,2023-06-07 11:23:07,22712.2,181908.23,Delivered,2023,6,June
10000106,512992.0,920007.0,Jaipur,911472,912605,2025-11-17 09:41:27,17233.6,205669.35,Delivered,2025,11,November
10000107,501404.0,920046.0,Mumbai,902263,912773,2023-04-25 13:57:41,24257.3,33029.97,Delivered,2023,4,April
10000108,533970.0,920034.0,Kolkata,907720,913609,2023-03-14 11:35:54,23609.0,188708.71,Failed,2023,3,March
10000109,515962.0,920158.0,Jaipur,906040,912297,2023-04-09 03:59:50,27270.1,82893.68,In Transit,2023,4,April
10000110,509064.0,920121.0,Chennai,902256,910404,2023-02-09 16:07:53,2152.4,143227.97,Delivered,2023,2,February
10000111,540213.0,920307.0,Hyderabad,904052,913997,2024-11-03 10:14:25,19776.1,172191.27,Delivered,2024,11,November
10000112,547850.0,920369.0,Pune,911250,912359,2024-07-05 16:37:52,26228.1,228650.1,Delivered,2024,7,July
10000113,504205.0,920087.0,Pune,900133,912147,2023-03-07 00:10:00,11507.9,221510.62,Delivered,2023,3,March
10000114,500711.0,920159.0,Delhi,901640,912046,2024-09-08 08:02:37,10533.5,113016.14,Delivered,2024,9,September
10000115,528294.0,920288.0,Mumbai,910820,911268,2024-02-21 20:41:33,19336.1,22013.76,Delivered,2024,2,February
10000116,508089.0,920371.0,Jaipur,907261,912610,2025-07-25 20:42:44,6872.7,9984.91,Cancelled,2025,7,July
10000117,510950.0,920232.0,Mumbai,901356,910645,2025-09-24 06:20:42,19170.5,234001.98,Delivered,2025,9,September
10000118,537416.0,920017.0,Delhi ,902102,912173,2024-07-13 16:33:30,12679.2,162200.73,Delivered,2024,7,July
10000119,536821.0,920147.0,Pune,902275,910748,2023-02-03 16:48:15,25696.1,124763.84,Delivered,2023,2,February
10000120,536014.0,920214.0,Mumbai,911198,913185,2024-02-19 05:19:12,6570.2,26170.06,Delivered,2024,2,February
10000121,548022.0,920185.0,Mumbai,909544,912471,2025-06-23 03:59:39,11553.0,14359.59,Delivered,2025,6,June
10000122,513634.0,920049.0,Hyderabad,901984,910140,2023-06-22 07:14:24,14158.2,40970.14,Delivered,2023,6,June
10000123,516667.0,920183.0,Chennai,902473,911068,2023-04-13 01:09:33,22127.4,58023.94,Delivered,2023,4,April
10000124,512019.0,920336.0,Chennai,905424,910097,2024-06-22 06:33:34,8196.3,114290.56,Delivered,2024,6,June
10000125,547508.0,920027.0,Delhi,909600,913184,2024-10-09 06:22:47,19273.4,209246.89,In Transit,2024,10,October
10000126,543685.0,920158.0,Hyderabad,911718,910302,2023-10-21 11:27:26,2819.4,79557.57,Delivered,2023,10,October
10000127,548165.0,920016.0,Bengaluru,900547,913679,2025-08-14 13:49:46,7493.2,243983.83,Delivered,2025,8,August
10000128,503553.0,920136.0,Mumbai,906112,913381,2025-05-31 15:33:10,10146.5,78572.98,Failed,2025,5,May
10000129,510190.0,920331.0,Pune,909404,913343,2024-04-21 15:06:13,15163.3,158134.63,In Transit,2024,4,April
10000130,523930.0,920017.0,Jaipur,903416,913215,2023-08-12 13:31:17,26028.1,39466.54,Delivered,2023,8,August
10000131,549289.0,920220.0,Mumbai,904254,910749,2023-12-14 13:48:28,24726.7,70572.86,Delivered,2023,12,December
10000132,501201.0,920282.0,Hyderabad,908703,910044,2024-02-27 20:00:53,14142.2,81798.76,Failed,2024,2,February
10000133,536888.0,920078.0,Pune,903793,910795,2024-07-04 15:21:17,20474.7,214351.75,In Transit,2024,7,July
10000134,518799.0,920339.0,Bengaluru,909281,913167,2023-06-08 02:02:08,6768.1,149529.46,In Transit,2023,6,June
10000135,524435.0,920008.0,Chennai,907430,911579,2024-01-26 13:03:38,123.3,154288.21,Delivered,2024,1,January
10000136,528589.0,920032.0,,903659,912559,2024-06-23 16:51:29,18266.3,36382.03,Delivered,2024,6,June
10000137,532707.0,920121.0,Pune,909189,912800,2024-03-29 22:32:28,3635.8,125920.9,Delivered,2024,3,March
10000138,539148.0,920037.0,Mumbai,902720,913059,2024-10-23 06:39:18,27910.4,106547.02,Delivered,2024,10,October
10000139,526318.0,920129.0,Chennai,908619,910306,2023-02-23 00:09:23,21161.9,220514.82,In Transit,2023,2,February
10000140,516091.0,920240.0,Mumbai,904149,913735,2024-04-11 19:17:04,9395.5,53377.93,Delivered,2024,4,April
10000141,529337.0,920375.0,Hyderabad,900800,910417,2025-09-22 12:37:42,14990.7,227449.13,Delivered,2025,9,September
10000142,530339.0,920001.0,Mumbai,907881,911845,2025-01-22 23:14:47,1088.8,12620.88,Cancelled,2025,1,January
10000143,504346.0,920077.0,Chennai,903253,912194,2025-03-18 09:43:02,11734.1,50556.48,Delivered,2025,3,March
10000144,518412.0,920301.0,Pune,905676,911457,2025-03-20 18:05:43,5720.1,174421.73,Delivered,2025,3,March
10000145,517439.0,920263.0,Chennai,909913,911403,2025-11-24 15:30:47,7865.4,37448.05,Delivered,2025,11,November
10000146,526706.0,920196.0,Bengaluru,908101,911390,2023-05-17 03:17:02,21739.6,7902.57,Delivered,2023,5,May
10000147,539845.0,920088.0,Mumbai,903175,913729,2023-11-07 23:54:37,25317.3,88721.28,Delivered,2023,11,November
10000148,536673.0,920388.0,Jaipur,904066,911032,2025-04-19 02:52:02,17176.4,186853.51,Delivered,2025,4,April
10000149,531666.0,920005.0,Bengaluru,906883,910116,2023-01-31 12:04:51,844.3,124949.96,In Transit,2023,1,January
10000150,520481.0,920264.0,Hyderabad,905661,913868,2024-08-29 03:27:20,17624.8,89505.7,Cancelled,2024,8,August
10000151,541202.0,920359.0,Delhi,904950,910924,2023-12-22 07:51:29,21882.8,34831.62,Delivered,2023,12,December
10000152,542589.0,920192.0,Kolkata,907490,912589,2024-01-10 00:22:00,19435.2,85994.37,Delivered,2024,1,January
10000153,501880.0,920006.0,Jaipur,909288,913144,2023-03-03 08:27:30,5005.4,204246.03,Delivered,2023,3,March
10000154,518569.0,920261.0,Mumbai,902292,912557,2024-04-02 22:17:05,19602.6,231512.0,Delivered,2024,4,April
10000155,528624.0,920157.0,Hyderabad,905928,912411,2023-08-13 23:21:36,27428.8,137415.6,Delivered,2023,8,August
10000156,523023.0,920035.0,Kolkata,906729,910430,2025-10-17 04:13:03,5989.6,244542.49,In Transit,2025,10,October
10000157,503630.0,920216.0,Kolkata,910057,910869,2025-08-15 06:13:41,22991.4,40223.71,Delivered,2025,8,August
10000158,543442.0,920088.0,Chennai,903005,910098,2025-05-28 11:19:45,7305.0,242895.61,Delivered,2025,5,May
10000159,511664.0,920311.0,Bengaluru,909201,912539,2023-09-03 07:55:58,17485.1,5129.46,Delivered,2023,9,September
10000160,547959.0,920394.0,Kolkata,909524,910977,2025-07-26 02:37:53,7414.8,2341.91,Delivered,2025,7,July
10000161,529438.0,920059.0,Jaipur,908798,910360,2023-04-06 14:32:51,13708.8,103511.05,Delivered,2023,4,April
10000162,507776.0,920359.0,Jaipur,907590,913277,2024-03-06 06:48:01,13393.5,129286.15,Delivered,2024,3,March
10000163,509823.0,920039.0,Mumbai,905323,912152,2024-02-15 02:53:07,1591.0,230432.11,Delivered,2024,2,February
10000164,525791.0,920156.0,Kolkata,910104,913953,2024-01-26 18:42:54,9849.8,115069.94,Delivered,2024,1,January
10000165,520241.0,920110.0,Mumbai,906533,911436,2023-07-18 07:36:17,24306.7,204630.06,Delivered,2023,7,July
10000166,523092.0,920296.0,Kolkata,902553,910237,2023-04-09 01:00:21,26598.7,57380.71,Delivered,2023,4,April
10000167,549400.0,920078.0,Jaipur,911996,913084,2023-04-29 16:49:39,15552.5,150279.87,Delivered,2023,4,April
10000168,522312.0,920169.0,Kolkata,910047,912813,2024-10-01 14:42:45,8166.5,224702.11,Delivered,2024,10,October
10000169,546522.0,920197.0,Pune,908290,913093,2024-05-31 18:53:22,2336.9,220037.86,Delivered,2024,5,May
10000170,528849.0,920212.0,Delhi,905007,913292,2023-10-14 15:21:25,17979.1,143689.84,In Transit,2023,10,October
10000171,536756.0,920201.0,Kolkata,902737,912605,2023-10-14 19:06:47,2940.0,145072.14,Delivered,2023,10,October
10000172,509135.0,920301.0,Delhi,904361,911495,2023-02-16 04:11:54,3319.3,187180.58,Delivered,2023,2,February
10000173,542402.0,920044.0,Bengaluru,905461,912194,2025-04-11 23:35:46,21397.1,174506.3,Delivered,2025,4,April
10000174,510864.0,920367.0,Kolkata,908676,911714,2024-09-26 06:51:38,7842.3,152755.87,Delivered,2024,9,September
10000175,541070.0,920023.0,Mumbai,906212,910597,2024-04-07 16:33:18,14270.6,201812.23,Delivered,2024,4,April
10000176,523921.0,920005.0,Mumbai,900977,910790,2024-10-20 06:25:24,9689.7,67562.59,Delivered,2024,10,October
10000177,531965.0,920138.0,Kolkata,908373,910973,2024-08-30 08:38:00,24958.5,191403.75,Delivered,2024,8,August
10000178,515111.0,920374.0,Hyderabad,906026,911144,2023-08-28 02:06:33,12028.9,247004.51,Delivered,2023,8,August
10000179,536648.0,920174.0,Kolkata,908709,910204,2025-02-17 08:55:48,6523.4,138217.61,Failed,2025,2,February
10000180,526487.0,920049.0,Hyderabad,907880,913231,2023-02-23 04:15:17,17128.2,98060.23,Delivered,2023,2,February
10000181,528669.0,920197.0,Bengaluru,911754,910812,2023-05-03 06:05:09,8943.1,2771.29,Delivered,2023,5,May
10000182,503941.0,920399.0,Bengaluru,902363,912787,2024-03-12 10:22:49,27245.4,148966.33,Delivered,2024,3,March
10000183,547775.0,920045.0,Delhi,906093,913793,2023-01-03 19:49:47,4861.0,74463.51,Delivered,2023,1,January
10000184,524415.0,920241.0,Delhi,908856,911741,2023-02-05 00:15:27,21566.3,16307.49,Delivered,2023,2,February
10000185,518430.0,920334.0,Mumbai,906330,912653,2024-06-17 13:12:45,26537.3,113216.47,Delivered,2024,6,June
10000186,514138.0,920238.0,Chennai,909761,913789,2023-08-28 22:56:05,13334.4,143111.91,Delivered,2023,8,August
10000187,537394.0,920206.0,Jaipur,900187,911279,2024-01-24 00:40:18,3955.1,31210.86,Delivered,2024,1,January
10000188,504113.0,920094.0,Hyderabad,907646,913805,2025-02-19 00:46:50,17925.1,120550.43,Delivered,2025,2,February
10000189,536638.0,920071.0,,903280,910457,2023-10-06 04:47:29,17884.4,111935.12,Delivered,2023,10,October
10000190,540474.0,920245.0,Kolkata,907884,913775,2023-05-17 23:52:50,19933.1,202695.04,Delivered,2023,5,May
10000191,521190.0,920187.0,PUNE,910693,911587,2025-03-18 07:27:21,4918.2,55804.25,Delivered,2025,3,March
10000192,524061.0,920192.0,Hyderabad,908462,912353,2025-09-26 15:35:52,21729.1,82524.41,Delivered,2025,9,September
10000193,531063.0,920128.0,Bengaluru,901269,910394,2023-09-22 22:27:02,4029.8,221260.98,Cancelled,2023,9,September
10000194,519564.0,920030.0,Chennai,906017,911470,2024-10-04 22:56:48,2769.7,239779.07,Delivered,2024,10,October
10000195,518964.0,920167.0,Jaipur,900624,910024,2025-06-30 11:39:23,2345.5,183229.92,Delivered,2025,6,June
10000196,527603.0,920227.0,Bengaluru,907881,911010,2025-08-26 16:32:59,23824.6,217017.65,Delivered,2025,8,August
10000197,523983.0,920025.0,Hyderabad,905649,913152,2025-03-30 11:53:38,4451.9,151449.72,Delivered,2025,3,March
10000198,541969.0,920397.0,Delhi,903364,913025,2025-03-13 22:12:46,18691.8,116681.8,Delivered,2025,3,March
10000199,500964.0,920384.0,Jaipur,904851,910955,2024-07-03 16:27:41,26668.9,8832.34,Cancelled,2024,7,July
10000200,506084.0,920014.0,Chennai,901771,913409,2023-01-28 08:13:24,13771.8,47013.22,In Transit,2023,1,January
10000201,533680.0,920240.0,Hyderabad,906758,913296,2024-05-29 15:52:28,21499.0,55066.41,Delivered,2024,5,May
10000202,543763.0,920098.0,Hyderabad,905185,911467,2023-07-22 12:31:41,5950.4,181413.03,Delivered,2023,7,July
10000203,521217.0,920342.0,Mumbai,906867,910676,2023-02-25 04:25:24,14145.1,53625.8,Delivered,2023,2,February
10000204,504718.0,920212.0,Pune,911762,912037,2025-10-09 01:03:57,2593.1,85243.07,Cancelled,2025,10,October
10000205,518218.0,920049.0,Chennai,903530,913037,2025-09-11 11:33:04,15193.9,172437.76,Cancelled,2025,9,September
10000206,524481.0,920394.0,Delhi,904170,910587,2025-07-14 18:28:47,7859.6,245407.0,Delivered,2025,7,July
10000207,534526.0,920270.0,Jaipur,907575,912574,2024-06-18 22:48:19,7509.0,127167.05,Delivered,2024,6,June
10000208,547957.0,920057.0,Jaipur,901112,911155,2023-06-29 08:39:14,13213.8,183751.46,Delivered,2023,6,June
10000209,508332.0,920032.0,Mumbai,909024,911746,2025-05-08 04:36:38,6400.3,125971.81,Delivered,2025,5,May
10000210,545690.0,920261.0,Kolkata,907528,912095,2025-02-03 15:17:21,25043.8,8617.42,Delivered,2025,2,February
10000211,541668.0,920282.0,Delhi,911559,913798,2025-03-18 18:50:39,12383.1,7112.82,Delivered,2025,3,March
10000212,507937.0,920308.0,Kolkata,900417,911397,2023-05-05 00:58:11,431.0,145354.37,Delivered,2023,5,May
10000213,516350.0,920270.0,Kolkata,908553,913074,2023-08-19 12:04:06,8330.5,146188.51,Delivered,2023,8,August
10000214,519923.0,920036.0,Jaipur,909901,910013,2025-04-08 19:25:41,7521.1,93030.16,Delivered,2025,4,April
10000215,514014.0,920185.0,Mumbai,910655,913136,2023-06-24 00:12:28,7092.1,199892.75,In Transit,2023,6,June
10000216,535856.0,920079.0,Hyderabad,908712,911693,2025-07-17 08:09:18,14746.6,245592.68,Delivered,2025,7,July
10000217,545947.0,920383.0,Jaipur,908752,913715,2024-10-06 00:56:36,3219.5,88089.08,Delivered,2024,10,October
10000218,530519.0,920361.0,Hyderabad,907844,912750,2023-11-14 04:06:07,12332.4,52244.64,Delivered,2023,11,November
10000219,526966.0,920189.0,Kolkata,900998,913771,2024-12-18 16:36:10,20248.5,88768.84,In Transit,2024,12,December
10000220,502076.0,920339.0,Delhi,901741,912096,2023-07-23 06:32:31,12818.9,210526.38,Delivered,2023,7,July
10000221,522334.0,920266.0,Jaipur,901684,910290,2025-05-06 08:31:03,12686.7,72891.94,Delivered,2025,5,May
10000222,512638.0,920122.0,Bengaluru,906349,912524,2023-02-01 19:19:54,27379.9,147399.04,Delivered,2023,2,February
10000223,533065.0,920014.0,Mumbai,909573,910570,2023-07-01 20:13:04,7058.5,242268.09,Delivered,2023,7,July
10000224,509593.0,920192.0,Jaipur,905198,911115,2025-09-28 00:29:19,5355.3,110957.54,Failed,2025,9,September
10000225,513883.0,920035.0,Chennai,909144,912954,2023-12-12 23:41:32,255.9,70416.44,Delivered,2023,12,December
10000226,513291.0,920352.0,Jaipur,905090,912791,2024-10-13 18:19:24,2113.2,182124.07,Delivered,2024,10,October
10000227,504856.0,920363.0,Kolkata,908459,913682,2023-08-29 18:13:37,15753.5,77282.81,Cancelled,2023,8,August
